"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales","stagger"
"GCAM-PNNL","IRA","GW/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035","United States",1.89,"stackbar",6,"Capacity Additions Alt",0,"Coal CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"GCAM-PNNL","IRA","GW/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Capacity Additions|Electricity|Coal|w/o CCS|Average 2021-2035","United States",6.57888888888889,"stackbar",6,"Capacity Additions Alt",0,"Coal","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"GCAM-PNNL","IRA","GW/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Capacity Additions|Electricity|Gas|w/ CCS|Average 2021-2035","United States",4.47111111111111,"stackbar",6,"Capacity Additions Alt",0,"Gas CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"GCAM-PNNL","IRA","GW/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","United States",27.6888888888889,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"GCAM-PNNL","IRA","GW/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Capacity Additions|Electricity|Nuclear|Average 2021-2035","United States",15.4588888888889,"stackbar",6,"Capacity Additions Alt",0,"Nuclear","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"GCAM-PNNL","IRA","GW/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Capacity Additions|Electricity|Solar|Average 2021-2035","United States",27.2244444444444,"stackbar",6,"Capacity Additions Alt",0,"Solar","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"GCAM-PNNL","IRA","GW/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx","Capacity Additions|Electricity|Wind|Average 2021-2035","United States",19.1622222222222,"stackbar",6,"Capacity Additions Alt",0,"Wind","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"OP-NEMS","IRA","GW/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035","United States",0.0218884516129032,"stackbar",6,"Capacity Additions Alt",0,"Coal CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"OP-NEMS","IRA","GW/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Capacity Additions|Electricity|Gas|w/ CCS|Average 2021-2035","United States",0.0492944516129032,"stackbar",6,"Capacity Additions Alt",0,"Gas CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"OP-NEMS","IRA","GW/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","United States",14.7939913870968,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"OP-NEMS","IRA","GW/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Capacity Additions|Electricity|Hydro|Average 2021-2035","United States",0.0188317096774194,"stackbar",6,"Capacity Additions Alt",0,"Hydro","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"OP-NEMS","IRA","GW/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Capacity Additions|Electricity|Nuclear|Average 2021-2035","United States",0.0931612903225807,"stackbar",6,"Capacity Additions Alt",0,"Nuclear","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"OP-NEMS","IRA","GW/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Capacity Additions|Electricity|Solar|Average 2021-2035","United States",36.9691919354839,"stackbar",6,"Capacity Additions Alt",0,"Solar","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"OP-NEMS","IRA","GW/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Capacity Additions|Electricity|Wind|Average 2021-2035","United States",10.2238899354839,"stackbar",6,"Capacity Additions Alt",0,"Wind","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"OP-NEMS","IRA","GWh/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Capacity Additions|Electricity|Storage Capacity|Average 2021-2035","United States",15.0523803548387,"stackbar",6,"Capacity Additions Alt",0,"Storage","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035","United States",3.749e-10,"stackbar",6,"Capacity Additions Alt",0,"Coal CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Additions|Electricity|Coal|w/o CCS|Average 2021-2035","United States",0.035423334319,"stackbar",6,"Capacity Additions Alt",0,"Coal","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Additions|Electricity|Gas|w/ CCS|Average 2021-2035","United States",9.81e-10,"stackbar",6,"Capacity Additions Alt",0,"Gas CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","United States",8.16514706242857,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Additions|Electricity|Hydro|Average 2021-2035","United States",0.146845081571429,"stackbar",6,"Capacity Additions Alt",0,"Hydro","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Additions|Electricity|Nuclear|Average 2021-2035","United States",0.0962285715611857,"stackbar",6,"Capacity Additions Alt",0,"Nuclear","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Additions|Electricity|Solar|Average 2021-2035","United States",15.6247013361429,"stackbar",6,"Capacity Additions Alt",0,"Solar","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Additions|Electricity|Wind|Average 2021-2035","United States",18.5931993857143,"stackbar",6,"Capacity Additions Alt",0,"Wind","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035","United States",5.39596335014286,"stackbar",6,"Capacity Additions Alt",0,"Coal","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035","United States",6.821242914,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Retirements|Electricity|Nuclear|Average 2021-2035","United States",0.54696,"stackbar",6,"Capacity Additions Alt",0,"Nuclear","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Retirements|Electricity|Solar|Average 2021-2035","United States",3.92950243633333,"stackbar",6,"Capacity Additions Alt",0,"Solar","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Retirements|Electricity|Storage Capacity|Average 2021-2035","United States",2.548901356,"stackbar",6,"Capacity Additions Alt",0,"Storage","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",2035,"usrep_reeds_allscen.csv","Capacity Retirements|Electricity|Wind|Average 2021-2035","United States",3.99150771285714,"stackbar",6,"Capacity Additions Alt",0,"Wind","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"USREP-ReEDS","IRA","GW/yr",NA,"usrep_reeds_allscen.csv",NA,"United States",42.6615447730932,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"USREP-ReEDS","IRA","GW/yr",NA,"usrep_reeds_allscen.csv",NA,"United States",23.2340777693333,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"EPS-EI","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",118.507714285714,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"EPS-EI","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-38.906,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"GCAM-CGS","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",83.2600644804677,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"GCAM-CGS","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-27.3924329780975,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"GCAM-PNNL","IRA","GW/yr",NA,"PNNL_GCAM6_IRA_EPA_LEEP_6_2_23.xlsx",NA,"United States",102.474444444444,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"Haiku-RFF","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",53.1347997936183,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"Haiku-RFF","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-10.9365897687783,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"IPM-NRDC","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",30.0744371481428,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"IPM-NRDC","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-11.8118414027143,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"IPM-EPA","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",52.1167899358826,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"IPM-EPA","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-9.65327503914285,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"MARKAL-NETL","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",26.7071428571429,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"MARKAL-NETL","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-11.0107142857143,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"NEMS-RHG","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",103.522883928572,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"NEMS-RHG","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-19.0201993571429,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"OP-NEMS","IRA","GW/yr",NA,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx",NA,"United States",62.1702491612903,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"OP-NEMS","IRA","GWh/yr",NA,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx",NA,"United States",15.0523803548387,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"REGEN-EPRI","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",61.3036421586108,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"REGEN-EPRI","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-17.4756532368436,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"RIO-REPEAT","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",125.321428571429,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"RIO-REPEAT","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-16.3142857142857,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"ReEDS-NREL","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",72.503242461451,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1
"ReEDS-NREL","IRA","GW/yr",NA,"bistline_ira_tall.csv",NA,"United States",-13.7908613489554,NA,NA,NA,NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
