"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales","stagger"
"Haiku-RFF","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035","United States",-4.48921833006696,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
"Haiku-RFF","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Nuclear|Average 2021-2035","United States",-2.00942857142857,"stackbar",6,"Capacity Additions Alt",0,"Nuclear","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035","United States",0.0965261463571428,"stackbar",6,"Capacity Additions Alt",0,"Coal CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Gas|w/ CCS|Average 2021-2035","United States",0.265218485357143,"stackbar",6,"Capacity Additions Alt",0,"Gas CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","United States",4.3490068085,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Hydro|Average 2021-2035","United States",0.414,"stackbar",6,"Capacity Additions Alt",0,"Hydro","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Solar|Average 2021-2035","United States",19.6670649627398,"stackbar",6,"Capacity Additions Alt",0,"Solar","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Storage Capacity|Average 2021-2035","United States",6.94109861364286,"stackbar",6,"Capacity Additions Alt",0,"Storage","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Wind|Average 2021-2035","United States",20.3838749192857,"stackbar",6,"Capacity Additions Alt",0,"Wind","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035","United States",-7.44417298185714,"stackbar",6,"Capacity Additions Alt",0,"Coal","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035","United States",-1.50419491442857,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
"IPM-EPA","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Nuclear|Average 2021-2035","United States",-0.704907142857143,"stackbar",6,"Capacity Additions Alt",0,"Nuclear","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
"IPM-NRDC","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035","United States",1.19386592042857,"stackbar",6,"Capacity Additions Alt",0,"Coal CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-NRDC","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","United States",2.63826018192857,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"IPM-NRDC","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Hydro|Average 2021-2035","United States",0.329099159214286,"stackbar",6,"Capacity Additions Alt",0,"Hydro","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-NRDC","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Solar|Average 2021-2035","United States",11.0432805027857,"stackbar",6,"Capacity Additions Alt",0,"Solar","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-NRDC","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Storage Capacity|Average 2021-2035","United States",5.79472052671428,"stackbar",6,"Capacity Additions Alt",0,"Storage","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"IPM-NRDC","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Wind|Average 2021-2035","United States",9.07521085707143,"stackbar",6,"Capacity Additions Alt",0,"Wind","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
