"variable","unit","model","year","value","version","figure_num","label"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",604.4271881,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Utility-Scale Solar PV"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",567.2581881,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Utility-Scale Solar PV"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",1160.974416,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",914.532081,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",868.8054273,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",1040.641209,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",673.8657254,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",631.7491617,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",967.2227112,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",894.9873875,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",854.4868466,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",967.7612288,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",894.991562,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",852.5324718,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",871.9909009,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",699.6911045,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",682.6985774,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",1006.810806,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",681.0778501,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",638.5105612,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2030",768.1517445,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Utility-Scale Solar PV"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2035",734.7538426,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Utility-Scale Solar PV"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2030",920.9724473,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2035",875.4298538,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2030",988.7803088,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2035",915.9121592,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2030",793.4531854,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2035",743.8623613,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2025",2290,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2030",2199,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2035",2119,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2025",2042.761226,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2030",1896.25597,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2035",1757.024025,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2025",2155.639463,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2030",2001.038667,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2035",1854.113088,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2025",1471.5556,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2030",1471.5556,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2035",1471.5556,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2025",2171.166524,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2030",2002.067164,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2035",1872.69365,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2025",1457.356877,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2030",1306.096913,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2035",1154.836948,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2025",2004.48,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2030",1795.5,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2035",1690,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2025",2540.07,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2030",2445.86,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2035",2354.25,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2020",2630.406445,"Advanced","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2025",1937.444014,"Advanced","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2030",1734.598998,"Advanced","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2035",1532.850442,"Advanced","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2020",2630.406445,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2025",2155.639463,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2030",2001.038667,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2035",1854.113088,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2020",2630.406445,"Conservative","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2025",2373.834912,"Conservative","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2030",2267.478336,"Conservative","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2035",2174.279275,"Conservative","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2025",4334.893099,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2030",3932.782929,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2035",3541.063203,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2025",1901,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2030",1901,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2035",1901,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2025",2395.067943,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2030",2395.067943,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2035",2395.067943,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2025",2953.93,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2030",2953.93,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2035",2953.93,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",1759.8145,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",1648.636797,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",1526.441299,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",1739.782448,"Advanced","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",1597.555016,"Advanced","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",1422.274556,"Advanced","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2030",2295.346715,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2035",2084.838727,"Moderate","D.3.capitalcosts_coalgasCCS","NGCC with CCS"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2030",2136.352461,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
"Capital Cost","Capital Costs (2020$/kW)","IPM-EPA","2035",2136.352461,"Moderate","D.3.capitalcosts_coalgasCCS","Coal CCS Retrofit"
