"variable","unit","model","year","value","version","figure_num","label"
"Capital Cost","Capital Costs (2020$/kW)","EPS-EI","2030",888.378,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","EPS-EI","2035",804.039,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2025",1250,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2030",1170,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2035",1109,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2025",1204.374643,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2030",948.7196609,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2035",901.2836779,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2025",1206,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2030",955.919273,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2035",908.1233094,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2025",1176.0334,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2030",1118.396,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2035",1063.5835,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2025",1158.494135,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2030",913.2577405,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
