"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","Solar",0.8991748071362,"Ap.10.SolarGen"
"USREP-ReEDS",2030,"IRA","Solar",0.6489209915846,"Ap.10.SolarGen"
"USREP-ReEDS",2035,"IRA","Solar",0.7919501334248,"Ap.10.SolarGen"
"EPS-EI",2025,"IRA","Solar",0.4467256186176,"Ap.10.SolarGen"
"EPS-EI",2030,"IRA","Solar",1.8239680426282,"Ap.10.SolarGen"
"EPS-EI",2035,"IRA","Solar",3.2105593478448,"Ap.10.SolarGen"
"GCAM-CGS",2025,"IRA","Solar",0.367579274426,"Ap.10.SolarGen"
"GCAM-CGS",2030,"IRA","Solar",1.1014020148096,"Ap.10.SolarGen"
"GCAM-CGS",2035,"IRA","Solar",1.6571725958984,"Ap.10.SolarGen"
"GCAM-PNNL",2025,"IRA","Solar",0.40348015646722,"Ap.10.SolarGen"
"GCAM-PNNL",2030,"IRA","Solar",0.49271572834862,"Ap.10.SolarGen"
"GCAM-PNNL",2035,"IRA","Solar",0.48179727138662,"Ap.10.SolarGen"
"Haiku-RFF",2025,"IRA","Solar",0.4863593049,"Ap.10.SolarGen"
"Haiku-RFF",2030,"IRA","Solar",0.9992132271268,"Ap.10.SolarGen"
"Haiku-RFF",2035,"IRA","Solar",0.7550122964818,"Ap.10.SolarGen"
"IPM-NRDC",2025,"IRA","Solar",-0.0606047735327998,"Ap.10.SolarGen"
"IPM-NRDC",2030,"IRA","Solar",0.1248970643802,"Ap.10.SolarGen"
"IPM-NRDC",2035,"IRA","Solar",0.3721325302688,"Ap.10.SolarGen"
"IPM-EPA",2030,"IRA","Solar",0.1269736913368,"Ap.10.SolarGen"
"IPM-EPA",2035,"IRA","Solar",0.385256559534,"Ap.10.SolarGen"
"MARKAL-NETL",2025,"IRA","Solar",-0.1377438839448,"Ap.10.SolarGen"
"MARKAL-NETL",2030,"IRA","Solar",-0.1377438848926,"Ap.10.SolarGen"
"MARKAL-NETL",2035,"IRA","Solar",-0.1377438839448,"Ap.10.SolarGen"
"NEMS-RHG",2025,"IRA","Solar",-0.4439070149612,"Ap.10.SolarGen"
"NEMS-RHG",2030,"IRA","Solar",1.0234523894364,"Ap.10.SolarGen"
"NEMS-RHG",2035,"IRA","Solar",1.3563468972718,"Ap.10.SolarGen"
"OP-NEMS",2022,"IRA","Solar",0.00968040534383985,"Ap.10.SolarGen"
"OP-NEMS",2023,"IRA","Solar",0.00320798643479991,"Ap.10.SolarGen"
"OP-NEMS",2024,"IRA","Solar",0.00275867350416004,"Ap.10.SolarGen"
"OP-NEMS",2025,"IRA","Solar",0.35211899246832,"Ap.10.SolarGen"
"OP-NEMS",2026,"IRA","Solar",0.58750763338008,"Ap.10.SolarGen"
"OP-NEMS",2027,"IRA","Solar",0.6749781091704,"Ap.10.SolarGen"
"OP-NEMS",2028,"IRA","Solar",0.98181040290984,"Ap.10.SolarGen"
"OP-NEMS",2029,"IRA","Solar",1.15848008823456,"Ap.10.SolarGen"
"OP-NEMS",2030,"IRA","Solar",1.30280228271648,"Ap.10.SolarGen"
"OP-NEMS",2031,"IRA","Solar",1.43272435313952,"Ap.10.SolarGen"
"OP-NEMS",2032,"IRA","Solar",1.47562630138728,"Ap.10.SolarGen"
"OP-NEMS",2033,"IRA","Solar",1.61160260619456,"Ap.10.SolarGen"
"OP-NEMS",2034,"IRA","Solar",1.77446611505016,"Ap.10.SolarGen"
"OP-NEMS",2035,"IRA","Solar",1.90232373376584,"Ap.10.SolarGen"
"REGEN-EPRI",2025,"IRA","Solar",0.0115262157038001,"Ap.10.SolarGen"
"REGEN-EPRI",2030,"IRA","Solar",0.0734158278643999,"Ap.10.SolarGen"
"REGEN-EPRI",2035,"IRA","Solar",1.084206357115,"Ap.10.SolarGen"
"RIO-REPEAT",2025,"IRA","Solar",0.11771676,"Ap.10.SolarGen"
"RIO-REPEAT",2030,"IRA","Solar",0.68582808,"Ap.10.SolarGen"
"RIO-REPEAT",2035,"IRA","Solar",2.85932304,"Ap.10.SolarGen"
"ReEDS-NREL",2025,"IRA","Solar",0.300031383463,"Ap.10.SolarGen"
