"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",39.0131767227686,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",2016.41179776576,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",896.570322201751,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",14.6368952172564,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",247.504599358312,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",806.407242025898,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",65.7375505730905,"stackbar",14,"Hist Generation Mix",0,"Oil","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",29.9772571032689,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",0.61177977083643,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2007,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",34.4491788849508,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",37.2990431116264,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",1985.75812646185,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",882.961425494972,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",14.8396547032491,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",254.825851489374,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",806.190928667559,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",46.2416078138716,"stackbar",14,"Hist Generation Mix",0,"Oil","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",29.4399957142754,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",0.864296231918364,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2008,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",55.3618978235014,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",36.0493552484378,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",1755.86612464824,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",920.958682611638,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",15.0083321515511,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",273.439156192742,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",798.837238351999,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
