"model","scenario","variable_rename","year","value"
"USREP-ReEDS","No IRA","Oil",2025,34.790376115488
"USREP-ReEDS","No IRA","Oil",2030,33.082136176908
"USREP-ReEDS","No IRA","Oil",2035,31.724095116518
"USREP-ReEDS","No IRA","Oil",2021,35.242100410454
"USREP-ReEDS","IRA","Oil",2025,34.924638345226
"USREP-ReEDS","IRA","Oil",2030,32.78779374969
"USREP-ReEDS","IRA","Oil",2035,30.860427028984
"USREP-ReEDS","IRA","Oil",2021,35.242100410454
"EPS-EI","No IRA","Oil",2025,32.343747772084
"EPS-EI","No IRA","Oil",2030,30.26280535887
"EPS-EI","No IRA","Oil",2035,28.233514008028
"EPS-EI","No IRA","Oil",2021,35.242100410454
"EPS-EI","IRA","Oil",2025,32.297409602612
"EPS-EI","IRA","Oil",2030,30.02992056785
"EPS-EI","IRA","Oil",2035,27.771050361866
"EPS-EI","IRA","Oil",2021,35.242100410454
"GCAM-CGS","No IRA","Oil",2025,32.66402609232
"GCAM-CGS","No IRA","Oil",2030,31.77689519683
"GCAM-CGS","No IRA","Oil",2035,28.881459346614
"GCAM-CGS","No IRA","Oil",2021,35.242100410454
"GCAM-CGS","IRA","Oil",2025,30.70165396144
"GCAM-CGS","IRA","Oil",2030,28.226940370524
"GCAM-CGS","IRA","Oil",2035,27.73591606037
"GCAM-CGS","IRA","Oil",2021,35.242100410454
"GCAM-PNNL","No IRA","Oil",2025,31.475935666
"GCAM-PNNL","No IRA","Oil",2030,28.765616264
"GCAM-PNNL","No IRA","Oil",2035,25.73532906
"GCAM-PNNL","No IRA","Oil",2021,35.242100410454
"GCAM-PNNL","IRA","Oil",2025,30.5359914858968
"GCAM-PNNL","IRA","Oil",2030,26.9546305173232
"GCAM-PNNL","IRA","Oil",2035,23.4908351324151
"GCAM-PNNL","IRA","Oil",2021,35.242100410454
"MARKAL-NETL","No IRA","Oil",2025,36.385172763142
"MARKAL-NETL","No IRA","Oil",2030,35.927441036914
"MARKAL-NETL","No IRA","Oil",2035,35.478799139196
"MARKAL-NETL","No IRA","Oil",2021,35.242100410454
"MARKAL-NETL","IRA","Oil",2025,36.353124346798
"MARKAL-NETL","IRA","Oil",2030,35.896031598896
"MARKAL-NETL","IRA","Oil",2035,35.448199691058
"MARKAL-NETL","IRA","Oil",2021,35.242100410454
"NEMS-RHG","No IRA","Oil",2025,36.828466756228
"NEMS-RHG","No IRA","Oil",2030,35.154885987004
"NEMS-RHG","No IRA","Oil",2035,33.686250513972
"NEMS-RHG","No IRA","Oil",2021,35.242100410454
"NEMS-RHG","IRA","Oil",2025,36.84960737836
"NEMS-RHG","IRA","Oil",2030,34.781399738638
"NEMS-RHG","IRA","Oil",2035,32.927483224398
"NEMS-RHG","IRA","Oil",2021,35.242100410454
"OP-NEMS","No IRA","Oil",2025,35.3330125593942
"OP-NEMS","No IRA","Oil",2030,33.9845838350107
"OP-NEMS","No IRA","Oil",2035,32.7067197822177
"OP-NEMS","No IRA","Oil",2022,35.1553823860889
"OP-NEMS","No IRA","Oil",2023,35.5859403822627
"OP-NEMS","No IRA","Oil",2024,35.4096412027629
"OP-NEMS","No IRA","Oil",2026,35.1205815480528
"OP-NEMS","No IRA","Oil",2027,34.8083400012317
"OP-NEMS","No IRA","Oil",2028,34.551527196444
"OP-NEMS","No IRA","Oil",2029,34.237363658568
"OP-NEMS","No IRA","Oil",2031,33.7255600405131
"OP-NEMS","No IRA","Oil",2032,33.5541218383902
"OP-NEMS","No IRA","Oil",2033,33.3150629509754
"OP-NEMS","No IRA","Oil",2034,33.0134903545008
"OP-NEMS","No IRA","Oil",2021,35.242100410454
"OP-NEMS","IRA","Oil",2025,35.1928272118199
"OP-NEMS","IRA","Oil",2030,32.6090662366994
"OP-NEMS","IRA","Oil",2035,30.1136108506028
"OP-NEMS","IRA","Oil",2022,35.1463344281983
"OP-NEMS","IRA","Oil",2023,35.566834471182
"OP-NEMS","IRA","Oil",2024,35.3174556317965
"OP-NEMS","IRA","Oil",2026,34.8281369090965
"OP-NEMS","IRA","Oil",2027,34.3017273590179
"OP-NEMS","IRA","Oil",2028,33.7959457129366
"OP-NEMS","IRA","Oil",2029,33.1880035423127
"OP-NEMS","IRA","Oil",2031,32.015636998532
"OP-NEMS","IRA","Oil",2032,31.4811924858483
"OP-NEMS","IRA","Oil",2033,31.0329755718595
"OP-NEMS","IRA","Oil",2034,30.5244789384139
"OP-NEMS","IRA","Oil",2021,35.242100410454
"REGEN-EPRI","No IRA","Oil",2025,30.90944167192
"REGEN-EPRI","No IRA","Oil",2030,27.869496584958
"REGEN-EPRI","No IRA","Oil",2035,24.819551677228
"REGEN-EPRI","No IRA","Oil",2021,35.242100410454
"REGEN-EPRI","IRA","Oil",2025,30.839442936022
"REGEN-EPRI","IRA","Oil",2030,27.43950435828
"REGEN-EPRI","IRA","Oil",2035,24.019566129524
"REGEN-EPRI","IRA","Oil",2021,35.242100410454
"RIO-REPEAT","No IRA","Oil",2025,34.35937936298
"RIO-REPEAT","No IRA","Oil",2030,32.01942162552
"RIO-REPEAT","No IRA","Oil",2035,29.13947365189
"RIO-REPEAT","No IRA","Oil",2021,35.242100410454
"RIO-REPEAT","IRA","Oil",2025,34.339379721444
"RIO-REPEAT","IRA","Oil",2030,31.89942379526
"RIO-REPEAT","IRA","Oil",2035,28.919477623428
"RIO-REPEAT","IRA","Oil",2021,35.242100410454
"AEO.2023","No IRA","Oil",2025,34.9365584045005
"AEO.2023","No IRA","Oil",2030,34.1920178696082
"AEO.2023","No IRA","Oil",2035,33.6007776212532
"AEO.2023","No IRA","Oil",2022,35.1767992864142
"AEO.2023","No IRA","Oil",2023,35.7472956313119
"AEO.2023","No IRA","Oil",2024,35.0970416576079
"AEO.2023","No IRA","Oil",2026,34.8360728721623
"AEO.2023","No IRA","Oil",2027,34.7423513083445
"AEO.2023","No IRA","Oil",2028,34.6088419297
"AEO.2023","No IRA","Oil",2029,34.4411397101898
"AEO.2023","No IRA","Oil",2031,33.9869398240459
"AEO.2023","No IRA","Oil",2032,33.8230035870087
"AEO.2023","No IRA","Oil",2033,33.7037601419703
"AEO.2023","No IRA","Oil",2034,33.6588773508558
"AEO.2023","No IRA","Oil",2021,35.242100410454
"AEO.2023","IRA","Oil",2025,34.6576867023754
"AEO.2023","IRA","Oil",2030,33.867923377951
"AEO.2023","IRA","Oil",2035,33.1915445258329
"AEO.2023","IRA","Oil",2022,35.1726583056864
"AEO.2023","IRA","Oil",2023,35.2939147413563
"AEO.2023","IRA","Oil",2024,34.7865401026889
"AEO.2023","IRA","Oil",2026,34.5219363341606
"AEO.2023","IRA","Oil",2027,34.3815199876613
"AEO.2023","IRA","Oil",2028,34.3335382109695
"AEO.2023","IRA","Oil",2029,34.1226701923538
"AEO.2023","IRA","Oil",2031,33.662609333487
"AEO.2023","IRA","Oil",2032,33.5156030176576
"AEO.2023","IRA","Oil",2033,33.3841616293887
"AEO.2023","IRA","Oil",2034,33.2979570305868
"AEO.2023","IRA","Oil",2021,35.242100410454
"EIA","Historic","Oil",2021,35.242100410454
