"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Biomass|w/o CCS","United States",0.011,"stackbar",15,"Electricity Capacity",0,"Biomass w/o CCS","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Coal|w/o CCS","United States",58.49,"stackbar",15,"Electricity Capacity",0,"Coal w/o CCS","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Gas|w/o CCS","United States",421.093,"stackbar",15,"Electricity Capacity",0,"Gas w/o CCS","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Hydro","United States",79.188,"stackbar",15,"Electricity Capacity",0,"Hydro","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Nuclear","United States",99.119,"stackbar",15,"Electricity Capacity",0,"Nuclear","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Other","United States",26.605,"stackbar",15,"Electricity Capacity",0,"Other","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Solar","United States",518.4021,"stackbar",15,"Electricity Capacity",0,"Solar","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Storage Capacity","United States",61.6227,"stackbar",15,"Electricity Capacity",0,"Storage","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2030,"bistline_ira_tall.csv","Capacity|Electricity|Wind","United States",459.338,"stackbar",15,"Electricity Capacity",0,"Wind","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","GW",2035,"bistline_ira_tall.csv","Capacity|Electricity|Biomass|w/o CCS","United States",0.011,"stackbar",15,"Electricity Capacity",0,"Biomass w/o CCS","usa","models_leep","ira_2030_2035","main_scenarios","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
