"figure_num","model","scenario","variable","unit","label","year","value"
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2005,1858.6
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2006,1859.1
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2007,1860.7
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2008,1759.7
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2009,1688.5
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2010,1696.6
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2011,1670.4
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2012,1659.4
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2013,1669
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2014,1707.2
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2015,1718.2
"F.2.2.trn_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr","Transportation",2016,1757.7
