"figure_num","model","scenario","variable","unit","year","variable_rename","value"
1.2,"NEMS-RHG","IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",3731.423416
1.2,"NEMS-RHG","IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",3572.575636
1.2,"NEMS-RHG","No IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"NEMS-RHG","No IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4516.989884
1.2,"NEMS-RHG","No IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",4267.337931
1.2,"NEMS-RHG","No IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",4069.215131
1.2,"RIO-REPEAT","IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"RIO-REPEAT","IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4771.5
1.2,"RIO-REPEAT","IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",3693
1.2,"RIO-REPEAT","IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",2763
1.2,"RIO-REPEAT","No IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"RIO-REPEAT","No IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4809.5
1.2,"RIO-REPEAT","No IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",4156
1.2,"RIO-REPEAT","No IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",3710
1.2,"USREP-ReEDS","IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"USREP-ReEDS","IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4127.409674
1.2,"USREP-ReEDS","IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",3493.680895
1.2,"USREP-ReEDS","IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",3231.66939
1.2,"USREP-ReEDS","No IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"USREP-ReEDS","No IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4540.270473
1.2,"USREP-ReEDS","No IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",4231.719803
1.2,"USREP-ReEDS","No IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",4012.490192
1.2,"OP-NEMS","IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"OP-NEMS","IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4553.74423108588
1.2,"OP-NEMS","IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",3868.30500442835
1.2,"OP-NEMS","IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",3402.60352540493
1.2,"OP-NEMS","No IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"OP-NEMS","No IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4633.154005
