"figure_num","model","scenario","variable","unit","year","value"
"E.23.elec_share_industry","EPS-EI","IRA","Industry","% Electricity of Final Energy",2025,18.0507704
"E.23.elec_share_industry","EPS-EI","IRA","Industry","% Electricity of Final Energy",2030,17.9669787
"E.23.elec_share_industry","EPS-EI","IRA","Industry","% Electricity of Final Energy",2035,17.876559
"E.23.elec_share_industry","GCAM-CGS","IRA","Industry","% Electricity of Final Energy",2025,15.6
"E.23.elec_share_industry","GCAM-CGS","IRA","Industry","% Electricity of Final Energy",2030,18
"E.23.elec_share_industry","GCAM-CGS","IRA","Industry","% Electricity of Final Energy",2035,17.7
"E.23.elec_share_industry","NEMS-RHG","IRA","Industry","% Electricity of Final Energy",2025,12.5987619
"E.23.elec_share_industry","NEMS-RHG","IRA","Industry","% Electricity of Final Energy",2030,12.5682779
"E.23.elec_share_industry","NEMS-RHG","IRA","Industry","% Electricity of Final Energy",2035,12.4811021
"E.23.elec_share_industry","RIO-REPEAT","IRA","Industry","% Electricity of Final Energy",2025,17.31
"E.23.elec_share_industry","RIO-REPEAT","IRA","Industry","% Electricity of Final Energy",2030,17.16
"E.23.elec_share_industry","RIO-REPEAT","IRA","Industry","% Electricity of Final Energy",2035,17.03
"E.23.elec_share_industry","EPS-EI","No IRA","Industry","% Electricity of Final Energy",2025,17.9396415
"E.23.elec_share_industry","EPS-EI","No IRA","Industry","% Electricity of Final Energy",2030,17.7923341
"E.23.elec_share_industry","EPS-EI","No IRA","Industry","% Electricity of Final Energy",2035,17.7499523
"E.23.elec_share_industry","GCAM-CGS","No IRA","Industry","% Electricity of Final Energy",2025,14.3
"E.23.elec_share_industry","GCAM-CGS","No IRA","Industry","% Electricity of Final Energy",2030,14.7
"E.23.elec_share_industry","GCAM-CGS","No IRA","Industry","% Electricity of Final Energy",2035,16.6
"E.23.elec_share_industry","NEMS-RHG","No IRA","Industry","% Electricity of Final Energy",2025,12.6192722
"E.23.elec_share_industry","NEMS-RHG","No IRA","Industry","% Electricity of Final Energy",2030,12.5068488
"E.23.elec_share_industry","NEMS-RHG","No IRA","Industry","% Electricity of Final Energy",2035,12.4191518
"E.23.elec_share_industry","RIO-REPEAT","No IRA","Industry","% Electricity of Final Energy",2025,17.32
"E.23.elec_share_industry","RIO-REPEAT","No IRA","Industry","% Electricity of Final Energy",2030,17.17
"E.23.elec_share_industry","RIO-REPEAT","No IRA","Industry","% Electricity of Final Energy",2035,17.05
