"model","scenario","unit","year","variable","region","value","figure_num"
"USREP-ReEDS","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",610.5185662,"2.6.power_sensitivities_BW"
"USREP-ReEDS","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",488.6738995,"2.6.power_sensitivities_BW"
"USREP-ReEDS","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",698.2013332,"2.6.power_sensitivities_BW"
"USREP-ReEDS","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",577.0663645,"2.6.power_sensitivities_BW"
"GCAM-PNNL","High","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",837.5529,"2.6.power_sensitivities_BW"
"GCAM-PNNL","High","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",792.4751,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",831.998710072543,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",784.368180921919,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Low","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",826.1101,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Low","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",775.6386,"2.6.power_sensitivities_BW"
"GCAM-PNNL","High","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",781.7242,"2.6.power_sensitivities_BW"
"GCAM-PNNL","High","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",719.7337,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",831.998710072543,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",784.368180921919,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Low","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",836.4162,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Low","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",792.2504,"2.6.power_sensitivities_BW"
"ReEDS-NREL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","usa",387.6,"2.6.power_sensitivities_BW"
"ReEDS-NREL","High","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","usa",326.4,"2.6.power_sensitivities_BW"
"ReEDS-NREL","Low","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","usa",513.5,"2.6.power_sensitivities_BW"
"GCAM-PNNL","All-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",837.82059007149,"2.6.power_sensitivities_BW"
"GCAM-PNNL","All-Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",792.497027889211,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",831.998710072543,"2.6.power_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",784.368180921919,"2.6.power_sensitivities_BW"
"ReEDS-NREL","Adv Renew","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","usa",227.9,"2.6.power_sensitivities_BW"
"ReEDS-NREL","All-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","usa",225.2,"2.6.power_sensitivities_BW"
"ReEDS-NREL","Cons Renew","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","usa",617.7,"2.6.power_sensitivities_BW"
"ReEDS-NREL","Constr","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","usa",664.2,"2.6.power_sensitivities_BW"
