"model","scenario","variable_rename","year","value"
"USREP-ReEDS","No IRA","Total Industry Emissions",2025,1252.98988769
"USREP-ReEDS","No IRA","Total Industry Emissions",2030,1222.36571587
"USREP-ReEDS","No IRA","Total Industry Emissions",2035,1183.25485155
"USREP-ReEDS","No IRA","Total Industry Emissions",2021,1220.7
"USREP-ReEDS","IRA","Total Industry Emissions",2025,1152.13401681
"USREP-ReEDS","IRA","Total Industry Emissions",2030,1037.57958193
"USREP-ReEDS","IRA","Total Industry Emissions",2035,1037.94050988
"USREP-ReEDS","IRA","Total Industry Emissions",2021,1220.7
"EPS-EI","No IRA","Total Industry Emissions",2025,1200.24735804805
"EPS-EI","No IRA","Total Industry Emissions",2030,1142.24207607056
"EPS-EI","No IRA","Total Industry Emissions",2035,1117.28875624154
"EPS-EI","No IRA","Total Industry Emissions",2021,1220.7
"EPS-EI","IRA","Total Industry Emissions",2025,1183.34565540992
"EPS-EI","IRA","Total Industry Emissions",2030,975.257595214488
"EPS-EI","IRA","Total Industry Emissions",2035,826.231291813167
"EPS-EI","IRA","Total Industry Emissions",2021,1220.7
"GCAM-CGS","No IRA","Total Industry Emissions",2025,1469.58809085622
"GCAM-CGS","No IRA","Total Industry Emissions",2030,1498.26635705309
"GCAM-CGS","No IRA","Total Industry Emissions",2035,1533.32961461054
"GCAM-CGS","No IRA","Total Industry Emissions",2021,1220.7
"GCAM-CGS","IRA","Total Industry Emissions",2025,1299.87711190736
"GCAM-CGS","IRA","Total Industry Emissions",2030,1185.5497590578
"GCAM-CGS","IRA","Total Industry Emissions",2035,1174.68798661098
"GCAM-CGS","IRA","Total Industry Emissions",2021,1220.7
"GCAM-PNNL","No IRA","Total Industry Emissions",2025,306.326375714117
"GCAM-PNNL","No IRA","Total Industry Emissions",2030,295.113936632489
"GCAM-PNNL","No IRA","Total Industry Emissions",2035,300.58248138147
"GCAM-PNNL","No IRA","Total Industry Emissions",2021,1220.7
"GCAM-PNNL","IRA","Total Industry Emissions",2025,241.054093144943
