"Model","Year","Metric","Biomass w/o CCS","Coal w/o CCS","Gas w/o CCS","Hydro","Nuclear","Solar","Wind","Coal w/ CCS","Gas w/ CCS","Geothermal","Oil","Biomass w/ CCS","Hydrogen"
"EPS-EI",2030,"IRA",0.0424816326202551,188.611933951616,1007.50680059796,282.50689685172,802.278507800933,1072.57854715489,1598.24672958962,NA,NA,NA,NA,NA,NA
"EPS-EI",2030,"Difference from No IRA",-21.9940203044007,-245.751219798945,-771.449064697849,0,109.270326162606,534.552265954407,864.471284363013,NA,NA,NA,NA,NA,NA
"EPS-EI",2035,"IRA",0.0252785433734306,18.0534358863323,712.324132718836,280.652930341402,41.4337015498731,1678.62773760311,2577.92233292477,NA,NA,NA,NA,NA,NA
"EPS-EI",2035,"Difference from No IRA",-22.5654133828701,-389.768197304967,-1115.72584575069,-1.79996748574609,-594.915503564913,940.922063371378,1687.30362088368,NA,NA,NA,NA,NA,NA
"GCAM-CGS",2030,"IRA",41.3067052892094,219.440513301521,1242.25718057168,296.177488241521,738.310430961524,921.877250487185,1131.8734726757,0.0210158950735792,449.124880585189,NA,NA,NA,NA
"GCAM-CGS",2030,"Difference from No IRA",-4.28791901647188,-517.904115677863,-346.429692623411,-4.13167008669615,-50.3470488769435,322.789066967278,555.419473672442,-1.34228249618399,447.043957289019,NA,NA,NA,NA
"GCAM-CGS",2035,"IRA",39.0689128483377,0.00432379626124651,1191.10561689358,288.84969112531,760.081711861445,1210.43817985512,1250.65574923688,0,456.568384667976,NA,NA,NA,NA
"GCAM-CGS",2035,"Difference from No IRA",-5.67783539596441,-684.02990789955,-657.538212150381,-5.30629023786958,-28.3754922147639,485.669345789276,632.726777017817,0,456.568384667976,NA,NA,NA,NA
"GCAM-PNNL",2030,"IRA",47.135759660143,218.884934995048,1413.53835501377,258.007006079531,782.274758033571,822.329868624925,1641.69972605224,157.219382242636,156.663836722344,75.0219781512723,16.9910264108186,NA,NA
"GCAM-PNNL",2030,"Difference from No IRA",2.00976925148436,-258.961988828913,-449.63076684833,0,0,144.400725712959,418.47848874354,157.219382242636,156.663836722344,13.9783586088271,-1.38530830940013,NA,NA
"GCAM-PNNL",2035,"IRA",65.4284292250058,212.640047801446,1259.65224589289,260.338075082676,782.274758033571,1035.92662414459,2054.11760955112,209.996206670376,228.051436079866,89.5919927392104,22.5537314827785,NA,NA
"GCAM-PNNL",2035,"Difference from No IRA",-1.21689468492362,-199.138625021789,-625.105374887761,0,0,141.200841848357,453.119862988659,209.996206670376,228.051436079866,15.6266621675335,-3.19852555580518,NA,NA
"Haiku-RFF",2030,"IRA",41.8108902077621,562.27866447692,712.879702959371,292.25057060589,704.976853800082,742.127749560208,1153.6997116321,5.24593875680762,NA,NA,NA,NA,NA
"Haiku-RFF",2030,"Difference from No IRA",-2.77136130000265,-310.81181393332,-297.024911025481,0,0,292.840489531945,316.094634837371,5.24593875680762,NA,NA,NA,NA,NA
"Haiku-RFF",2035,"IRA",45.2597665045334,499.94158857529,667.110192760217,291.719952842971,559.284986464126,849.029487532,1308.69525879101,5.85788011788119,NA,NA,NA,NA,NA
"Haiku-RFF",2035,"Difference from No IRA",-1.94327487775296,-293.591520797966,-296.901105291752,0,0,221.272261523519,374.712418568375,5.85788011788119,NA,NA,NA,NA,NA
"IPM-EPA",2030,"IRA",38.4138307557592,242.783244199328,1754.28763317851,302.746861468208,733.716339833551,488.951608612843,844.081903522,65.8547062588713,49.5441656408502,NA,NA,NA,NA
"IPM-EPA",2030,"Difference from No IRA",0.665976526554708,-311.286767994895,-36.8572655998944,-2.17815359410366,105.245644753449,37.2123156873988,131.744346585872,62.0680089311291,25.1418042859382,NA,NA,NA,NA
"IPM-EPA",2035,"IRA",37.1896129654146,44.3796598557456,1341.45619300444,328.647411698551,660.33521898521,773.930125967347,1500.27211381362,75.2380544058286,77.1585762013537,NA,NA,NA,NA
