"Model","Year","Metric","Biomass w/o CCS","Coal w/o CCS","Gas w/o CCS","Hydro","Nuclear","Solar","Wind","Coal w/ CCS","Gas w/ CCS","Geothermal","Oil","Biomass w/ CCS","Hydrogen"
"IPM-EPA",2035,"Difference from No IRA",-1.71180658808974,-421.515481563711,-541.348034411953,4.14125743771768,173.822865112742,112.907552145981,580.827540404127,71.4513570780864,52.7562148464417,NA,NA,NA,NA
"IPM-NRDC",2030,"IRA",40.3484238786919,198.300770441975,1649.93089763344,319.548791782413,677.937217941764,369.65358722766,890.310027867553,135.279879049891,NA,NA,NA,NA,NA
"IPM-NRDC",2030,"Difference from No IRA",-1.43132444059836,-163.451715215312,-291.62920442376,6.39032980910872,168.404643386014,36.6037165154768,124.524251415813,118.312567048825,NA,NA,NA,NA,NA
"IPM-NRDC",2035,"IRA",40.3418685703315,143.308880059943,1653.96847788993,316.090086754977,75.805570277415,683.148522037825,1368.21605541467,135.279879048427,NA,NA,NA,NA,NA
"IPM-NRDC",2035,"Difference from No IRA",-2.1131259265233,-190.285576053131,-403.57055478176,5.44762730309333,7.96085240697292,109.061278896889,376.54968852113,118.312567047361,NA,NA,NA,NA,NA
"MARKAL-NETL",2030,"IRA",25.6940008686893,514.774446376998,2021.25954985034,286.486720820973,797.502898746583,476.152890909078,602.14793797966,133.797690145192,96.9705481433451,NA,NA,NA,NA
"MARKAL-NETL",2030,"Difference from No IRA",15.0469624546692,-154.863993127693,129.650539518494,0,0,-40.3687475269904,-47.9380612964148,133.797690145192,96.9705481433451,NA,NA,NA,NA
"MARKAL-NETL",2035,"IRA",9.02206646718948,203.288157143246,1427.12258468206,286.486720820973,797.502898746583,497.796961694897,602.14793797966,1285.93335547616,96.9705481433451,NA,NA,NA,NA
"MARKAL-NETL",2035,"Difference from No IRA",-1.79163573624914,-481.063917237278,-591.339791235868,0,0,-40.3687475269904,-64.6961053224477,1285.93335547616,96.9705481433451,NA,NA,NA,NA
"NEMS-EIA",2030,"IRA",38.4960586148696,350.491151895397,1152.99907045459,295.679411906034,758.002909586515,921.119469081494,978.425257921146,2.15357100061204,0.667223947399595,20.9234480430047,7.46601113546286,0.0927223250823997,NA
"NEMS-EIA",2030,"Difference from No IRA",-0.401058755354576,-260.647527617299,1152.99907045459,-4.85831124043403,-7.52049315131069,351.649103880673,381.567997431743,2.15357100061204,0.667223947399595,-4.07339741896088,-1.07150064462591,0.0927223250823997,NA
"NEMS-EIA",2035,"IRA",39.5266459985445,343.14352079677,1038.63747525965,291.730265242632,700.337813237323,1150.40072839052,1135.01855925096,3.37783771047306,0.317634262317992,23.8110708815613,7.09295487427681,0.125988724164797,NA
"NEMS-EIA",2035,"Difference from No IRA",-0.438994070098609,-231.426300288496,1038.63747525965,-7.25456795493028,-46.8472977597502,345.966834524054,463.079647021551,3.37783771047306,0.317634262317992,-7.48865472643355,-0.937706061464596,0.125988724164797,NA
"NEMS-OP",2030,"IRA",37.5928339305403,295.84247086271,1038.74196037225,295.260077480807,776.563975303123,1166.27531963507,970.669356022212,4.19446732983699,9.49862541872356,23.4426115373374,7.14204198757698,0.24375559684748,NA
"NEMS-OP",2030,"Difference from No IRA",0.171294905762963,-243.436117716346,-417.623822126512,-3.67254165993944,111.750056369254,390.294951789779,295.236488906907,4.19446732983699,9.49862541872356,1.68660353352992,-0.967278527273468,0.24375559684748,NA
"NEMS-OP",2035,"IRA",36.3188879428467,139.704835267827,774.966453160445,288.770082714779,694.578151278708,1757.13366448769,1239.49164806991,3.13955441958775,7.39288845633636,28.2302520543533,6.3282716873615,0.113108956822347,NA
"NEMS-OP",2035,"Difference from No IRA",-0.0485661227112359,-333.553156894126,-652.401074157023,-3.95885148809572,96.8998606202305,673.70816726994,464.986290580321,3.13955441958775,7.39288845633636,2.2853037187291,-1.20660720408795,0.113108956822347,NA
"NEMS-RHG",2030,"IRA",60.5832216367589,137.585572681637,821.172534503001,285.105719907099,754.85031753431,1004.13162356648,1232.70884259315,NA,NA,NA,NA,NA,NA
"NEMS-RHG",2030,"Difference from No IRA",3.70141413839272,-347.614524760506,-438.667346000491,-11.5672960506695,75.7403928406392,299.944286866182,453.127374797412,NA,NA,NA,NA,NA,NA
"NEMS-RHG",2035,"IRA",70.4785968886725,204.839622817879,947.131735201103,259.537059774279,186.504077027524,1409.18026884848,1483.28729319396,NA,NA,NA,NA,NA,NA
"NEMS-RHG",2035,"Difference from No IRA",4.85188335654605,-241.504029519344,-237.738463539777,-33.662111934319,-438.195148530172,397.506036530181,665.053850599791,NA,NA,NA,NA,NA,NA
"REGEN-EPRI",2030,"IRA",56.5623021003336,464.649707844632,1322.60357971846,277.423349874519,781.930816123705,548.521054297254,627.430649585352,176.440099006812,0.558430314950372,NA,NA,5.06885069644946,0.194374982095072
"REGEN-EPRI",2030,"Difference from No IRA",-2.09406115421027,-203.592901078829,130.909771690631,18.8770505344034,2.74177518544457,21.5160551521096,-3.4762004354136,176.440098411317,0.558427686916392,NA,NA,5.06885041549135,0.19437465926971
"REGEN-EPRI",2035,"IRA",56.5240237046016,150.989817851839,871.885632069761,305.913797891936,761.358322406643,896.196128977342,1367.98572294127,176.274395150999,0.560972342143891,NA,NA,5.06434227925442,0.0104585296448268
"REGEN-EPRI",2035,"Difference from No IRA",-0.916438567697199,-443.488480771255,-493.851829226859,29.7284587296568,-21.330254540047,317.749516985238,723.996662339724,176.274393887065,0.56096931596063,NA,NA,1.56150818930703,0.0104583377740866
"RIO-REPEAT",2030,"IRA",39.999277461024,474.99141984966,811.985332458787,296.994635148103,793.985657601326,947.982875826269,1736.96862374497,NA,4.999909682628,NA,NA,NA,NA
"RIO-REPEAT",2030,"Difference from No IRA",-0.999981936525607,-178.996766638082,-159.997109844096,-6.99987355567924,-0.999981936525614,200.996369241646,641.988403249435,NA,0.9999819365256,NA,NA,NA,NA
"RIO-REPEAT",2035,"IRA",30.9994400322936,235.995737020042,444.991961753892,272.995068671489,786.985784045647,2119.96170543427,2370.9571715022,NA,1.9999638730512,NA,NA,NA,NA
"RIO-REPEAT",2035,"Difference from No IRA",-8.9998374287304,-256.995357687079,-392.992901054561,-25.9995303496656,-1.999963873051,834.984916998876,976.982351985512,NA,-0.999981936525601,NA,NA,NA,NA
"ReEDS-NREL",2030,"IRA",16.1483483570138,72.0564687058277,731.778380230217,302.802232032369,738.383911991177,996.23636866845,1273.87607965172,269.384440793865,NA,NA,NA,NA,NA
"ReEDS-NREL",2030,"Difference from No IRA",-1.39034192494846,-624.356955104928,-571.381096354785,0.482479073749687,-24.0986229945939,491.849341433736,587.754719877705,269.384440793865,NA,NA,NA,NA,NA
"ReEDS-NREL",2035,"IRA",15.4742958526765,62.4417794496393,517.103265777699,302.033290829059,722.816672550963,1275.4353580835,1574.74714683356,290.122006610218,NA,NA,NA,NA,NA
"ReEDS-NREL",2035,"Difference from No IRA",-0.928617735769604,-575.416453676835,-778.495905606039,-1.61430716655769,-39.6658624348083,686.199163591155,743.450635777764,290.122006610218,NA,NA,NA,NA,NA
"USREP-ReEDS",2030,"IRA",18.9028774310784,267.69816713144,860.550431299632,302.287975641367,746.513114580326,726.869658304694,1360.75489126152,1.02220375733728e-08,2.8888367055184e-08,3.27743551928021,NA,0,NA
"USREP-ReEDS",2030,"Difference from No IRA",-5.56822413893115,-332.293310575421,-495.942742778027,1.61072062648589,-15.9694204204611,190.17996934916,696.176749957496,7.49986452394198e-10,8.38873735640920e-09,-1.82937778781758,NA,0,NA
"USREP-ReEDS",2035,"IRA",18.2383411017969,190.233555881183,736.564637343192,302.851426018867,721.659549085736,824.56630686524,1635.37808802282,2.8332821534892e-08,6.9165417276354e-08,3.27743551928021,NA,0,NA
"USREP-ReEDS",2035,"Difference from No IRA",-5.28790309148357,-288.056308552698,-744.916296480486,1.41299169822179,-40.8229859150518,232.097672989449,884.405479831234,6.6387689674894e-09,8.888728324672e-09,-1.82937806559034,NA,0,NA
"EIA",2035,"IRA",37.1697816280284,898.66229174347,1575.20135393224,260.220184434452,778.137443880301,114.676167401456,379.760387028501,NA,NA,16.237590576289,18.7814426802071,NA,NA
"EIA",2035,"Difference from No IRA",0,0,0,0,0,0,0,NA,NA,0,0,NA,NA
