"model","year","variable_rename","metric","value"
"GCAM-PNNL",2030,"Wind","diff",418.47848874354
"GCAM-PNNL",2035,"Biomass w/o CCS","value_ira",65.4284292250058
"GCAM-PNNL",2035,"Biomass w/o CCS","diff",-1.21689468492362
"GCAM-PNNL",2035,"Coal w/ CCS","value_ira",209.996206670376
"GCAM-PNNL",2035,"Coal w/ CCS","diff",209.996206670376
"GCAM-PNNL",2035,"Coal w/o CCS","value_ira",212.640047801446
"GCAM-PNNL",2035,"Coal w/o CCS","diff",-199.138625021789
"GCAM-PNNL",2035,"Gas w/ CCS","value_ira",228.051436079866
"GCAM-PNNL",2035,"Gas w/ CCS","diff",228.051436079866
"GCAM-PNNL",2035,"Gas w/o CCS","value_ira",1259.65224589289
"GCAM-PNNL",2035,"Gas w/o CCS","diff",-625.105374887761
"GCAM-PNNL",2035,"Geothermal","value_ira",89.5919927392104
"GCAM-PNNL",2035,"Geothermal","diff",15.6266621675335
"GCAM-PNNL",2035,"Hydro","value_ira",260.338075082676
"GCAM-PNNL",2035,"Hydro","diff",0
"GCAM-PNNL",2035,"Nuclear","value_ira",782.274758033571
"GCAM-PNNL",2035,"Nuclear","diff",0
"GCAM-PNNL",2035,"Oil","value_ira",22.5537314827785
"GCAM-PNNL",2035,"Oil","diff",-3.19852555580518
"GCAM-PNNL",2035,"Solar","value_ira",1035.92662414459
"GCAM-PNNL",2035,"Solar","diff",141.200841848357
"GCAM-PNNL",2035,"Wind","value_ira",2054.11760955112
"GCAM-PNNL",2035,"Wind","diff",453.119862988659
"Haiku-RFF",2030,"Biomass w/o CCS","value_ira",41.8108902919664
"Haiku-RFF",2030,"Biomass w/o CCS","diff",-2.77136132757021
"Haiku-RFF",2030,"Coal w/ CCS","value_ira",5.24593884951728
"Haiku-RFF",2030,"Coal w/ CCS","diff",5.24593884951728
"Haiku-RFF",2030,"Coal w/o CCS","value_ira",562.278664499158
"Haiku-RFF",2030,"Coal w/o CCS","diff",-310.811813890674
"Haiku-RFF",2030,"Gas w/o CCS","value_ira",712.879702960904
"Haiku-RFF",2030,"Gas w/o CCS","diff",-297.024910990095
"Haiku-RFF",2030,"Hydro","value_ira",292.250570566163
"Haiku-RFF",2030,"Hydro","diff",0
"Haiku-RFF",2030,"Nuclear","value_ira",704.976853771952
"Haiku-RFF",2030,"Nuclear","diff",0
"Haiku-RFF",2030,"Solar","value_ira",742.127749630018
"Haiku-RFF",2030,"Solar","diff",292.840489632204
"Haiku-RFF",2030,"Wind","value_ira",1153.69971174279
"Haiku-RFF",2030,"Wind","diff",316.094634851738
"Haiku-RFF",2035,"Biomass w/o CCS","value_ira",45.2597666032632
"Haiku-RFF",2035,"Biomass w/o CCS","diff",-1.94327489706956
"Haiku-RFF",2035,"Coal w/ CCS","value_ira",5.8578800177562
"Haiku-RFF",2035,"Coal w/ CCS","diff",5.8578800177562
"Haiku-RFF",2035,"Coal w/o CCS","value_ira",499.941588599229
"Haiku-RFF",2035,"Coal w/o CCS","diff",-293.591520787949
"Haiku-RFF",2035,"Gas w/o CCS","value_ira",667.110192787769
"Haiku-RFF",2035,"Gas w/o CCS","diff",-296.901105170943
"Haiku-RFF",2035,"Hydro","value_ira",291.719952928912
"Haiku-RFF",2035,"Hydro","diff",0
"Haiku-RFF",2035,"Nuclear","value_ira",559.284986354142
"Haiku-RFF",2035,"Nuclear","diff",0
"Haiku-RFF",2035,"Solar","value_ira",849.029487467221
"Haiku-RFF",2035,"Solar","diff",221.272261593078
"Haiku-RFF",2035,"Wind","value_ira",1308.69525887856
"Haiku-RFF",2035,"Wind","diff",374.712418769549
"IPM-EPA",2030,"Biomass w/o CCS","value_ira",38.4138308224383
"IPM-EPA",2030,"Biomass w/o CCS","diff",0.665976581042891
"IPM-EPA",2030,"Coal w/ CCS","value_ira",65.8547062470449
"IPM-EPA",2030,"Coal w/ CCS","diff",62.0680088158592
"IPM-EPA",2030,"Coal w/o CCS","value_ira",242.783244134088
"IPM-EPA",2030,"Coal w/o CCS","diff",-311.286768088973
"IPM-EPA",2030,"Gas w/ CCS","value_ira",49.5441655996226
"IPM-EPA",2030,"Gas w/ CCS","diff",25.1418041767936
"IPM-EPA",2030,"Gas w/o CCS","value_ira",1754.28763312006
"IPM-EPA",2030,"Gas w/o CCS","diff",-37.3466698216446
"IPM-EPA",2030,"Hydro","value_ira",302.74686151881
"IPM-EPA",2030,"Hydro","diff",-2.1781534320483
"IPM-EPA",2030,"Nuclear","value_ira",733.71633990538
"IPM-EPA",2030,"Nuclear","diff",105.245644696984
"IPM-EPA",2030,"Solar","value_ira",488.951608508928
"IPM-EPA",2030,"Solar","diff",37.2123155819257
"IPM-EPA",2030,"Wind","value_ira",844.081903506058
"IPM-EPA",2030,"Wind","diff",131.744346585269
"IPM-EPA",2035,"Biomass w/o CCS","value_ira",37.1896129364662
"IPM-EPA",2035,"Biomass w/o CCS","diff",-1.71180657826714
