"scenario","year","variable_rename","value","figure_num"
"IRA-Core",2028,"HVAC",45.1563406234841,4.3
"IRA-Core",2029,"Reference",1319.06600253361,4.3
"IRA-Core",2029,"Total",1215.89751438906,4.3
"IRA-Core",2029,"Power",31.228008844379,4.3
"IRA-Core",2029,"Other",15.8259964651159,4.3
"IRA-Core",2029,"WaterHeating",4.72109851657594,4.3
"IRA-Core",2029,"HVAC",51.3933843184808,4.3
"IRA-Core",2030,"Reference",1289.06707593505,4.3
"IRA-Core",2030,"Total",1174.62279050251,4.3
"IRA-Core",2030,"Power",29.6841991578452,4.3
"IRA-Core",2030,"Other",18.9583878751693,4.3
"IRA-Core",2030,"WaterHeating",6.44457688546043,4.3
"IRA-Core",2030,"HVAC",59.3571215140678,4.3
"IRA-Core",2031,"Reference",1284.4376126867,4.3
"IRA-Core",2031,"Total",1139.8463394731,4.3
"IRA-Core",2031,"Power",47.6243360668306,4.3
"IRA-Core",2031,"Other",21.501633677411,4.3
"IRA-Core",2031,"WaterHeating",8.2603157452581,4.3
"IRA-Core",2031,"HVAC",67.2049877240949,4.3
"IRA-Core",2032,"Reference",1282.04755396044,4.3
"IRA-Core",2032,"Total",1107.57390578774,4.3
"IRA-Core",2032,"Power",65.9994957337533,4.3
"IRA-Core",2032,"Other",23.8209651401578,4.3
"IRA-Core",2032,"WaterHeating",10.1865103911506,4.3
"IRA-Core",2032,"HVAC",74.4666769076449,4.3
"IRA-Core",2033,"Reference",1279.38627125105,4.3
"IRA-Core",2033,"Total",1074.90611731918,4.3
"IRA-Core",2033,"Power",83.9467758303571,4.3
"IRA-Core",2033,"Other",26.2754082632756,4.3
"IRA-Core",2033,"WaterHeating",12.1673636928339,4.3
"IRA-Core",2033,"HVAC",82.0906061454048,4.3
"IRA-Core",2034,"Reference",1276.44934882063,4.3
"IRA-Core",2034,"Total",1044.41104194806,4.3
"IRA-Core",2034,"Power",102.635168136712,4.3
"IRA-Core",2034,"Other",27.1680516778966,4.3
"IRA-Core",2034,"WaterHeating",14.113177804169,4.3
"IRA-Core",2034,"HVAC",88.1219092537956,4.3
