"scenario","model","year","value","variable_rename","alpha","axe"
"Historic","OP-NEMS",2021,1550.2770779622,"Total_Low",0.8,1
"Historic","OP-NEMS",2021,1550.2024842066,"Total_Low",0.8,1
"Historic","AEO.2023",2021,1550.6645054292,"Total_Low",0.8,1
"No IRA","USREP-ReEDS",2030,2174.29772161702,"Total_Low",1,2
"No IRA","EPS-EI",2030,2130.04534372,"Total_Low",0.8,2
"No IRA","GCAM-CGS",2030,2149.60472294128,"Total_Low",0.8,2
"No IRA","GCAM-PNNL",2030,2736.01855142778,"Total_Low",1,2
"No IRA","Haiku-RFF",2030,2164.92781580911,"Total_Low",0.8,2
"No IRA","IPM-NRDC",2030,1837.3377980475,"Total_Low",0.8,2
"No IRA","IPM-EPA",2030,2014.73847553339,"Total_Low",1,2
"No IRA","MARKAL-NETL",2030,2133.15461267767,"Total_Low",0.8,2
"No IRA","NEMS-RHG",2030,2331.20525361189,"Total_Low",0.8,2
"No IRA","OP-NEMS",2030,2315.1150805608,"Total_Low",0.8,2
"No IRA","REGEN-EPRI",2030,2081.07200080041,"Total_Low",0.8,2
"No IRA","RIO-REPEAT",2030,2791.271,"Total_Low",0.8,2
"No IRA","ReEDS-NREL",2030,2137.62207034717,"Total_Low",0.8,2
"No IRA","AEO.2023",2030,2176.4560710732,"Total_Low",0.8,2
"IRA","USREP-ReEDS",2030,2993.78080012524,"Total_Low",1,2
"IRA","EPS-EI",2030,3559.63210309894,"Total_Low",0.8,2
"IRA","GCAM-CGS",2030,3352.79364012017,"Total_Low",0.8,2
"IRA","GCAM-PNNL",2030,3830.48453371749,"Total_Low",1,2
"IRA","Haiku-RFF",2030,2747.05914295089,"Total_Low",0.8,2
"IRA","IPM-NRDC",2030,2267.86998954483,"Total_Low",0.8,2
"IRA","IPM-EPA",2030,2355.22657930894,"Total_Low",1,2
"IRA","MARKAL-NETL",2030,2268.18199424717,"Total_Low",0.8,2
"IRA","NEMS-RHG",2030,3105.803827721,"Total_Low",0.8,2
"IRA","OP-NEMS",2030,3082.01295508035,"Total_Low",0.8,2
"IRA","REGEN-EPRI",2030,2286.42341017844,"Total_Low",0.8,2
"IRA","RIO-REPEAT",2030,3582.684,"Total_Low",0.8,2
"IRA","ReEDS-NREL",2030,3393.83268322389,"Total_Low",0.8,2
"IRA","AEO.2023",2030,2858.19946565839,"Total_Low",0.8,2
"No IRA","USREP-ReEDS",2035,2308.87802255319,"Total_Low",1,3
"No IRA","EPS-EI",2035,2414.2100955,"Total_Low",0.8,3
"No IRA","GCAM-CGS",2035,2298.75128154622,"Total_Low",0.8,3
"No IRA","GCAM-PNNL",2035,3258.7344902,"Total_Low",1,3
"No IRA","Haiku-RFF",2035,2286.84102428561,"Total_Low",0.8,3
"No IRA","IPM-NRDC",2035,1858.86661431139,"Total_Low",0.8,3
"No IRA","IPM-EPA",2035,2293.4091208455,"Total_Low",1,3
"No IRA","MARKAL-NETL",2035,2169.55279467928,"Total_Low",0.8,3
"No IRA","NEMS-RHG",2035,2604.41764009506,"Total_Low",0.8,3
"No IRA","OP-NEMS",2035,2560.852962738,"Total_Low",0.8,3
"No IRA","REGEN-EPRI",2035,2162.26429020142,"Total_Low",0.8,3
"No IRA","RIO-REPEAT",2035,3573.206,"Total_Low",0.8,3
"No IRA","ReEDS-NREL",2035,2356.90161229522,"Total_Low",0.8,3
"No IRA","AEO.2023",2035,2458.455740566,"Total_Low",0.8,3
"IRA","USREP-ReEDS",2035,3323.01947813019,"Total_Low",1,3
"IRA","EPS-EI",2035,4339.710256798,"Total_Low",0.8,3
"IRA","GCAM-CGS",2035,3759.60543636961,"Total_Low",0.8,3
"IRA","GCAM-PNNL",2035,4528.27700378527,"Total_Low",1,3
"IRA","Haiku-RFF",2035,2857.27770708256,"Total_Low",0.8,3
"IRA","IPM-NRDC",2035,2443.98446662494,"Total_Low",0.8,3
"IRA","IPM-EPA",2035,3237.34662443344,"Total_Low",1,3
"IRA","MARKAL-NETL",2035,3380.71052465261,"Total_Low",0.8,3
"IRA","NEMS-RHG",2035,3164.295702939,"Total_Low",0.8,3
"IRA","OP-NEMS",2035,3848.6428586851,"Total_Low",0.8,3
"IRA","REGEN-EPRI",2035,3325.21670143406,"Total_Low",0.8,3
"IRA","RIO-REPEAT",2035,5270.7158,"Total_Low",0.8,3
"IRA","ReEDS-NREL",2035,3947.80472229733,"Total_Low",0.8,3
"IRA","AEO.2023",2035,3170.11325737711,"Total_Low",0.8,3
