"figure_num","model","scenario","variable","unit","year","label","value"
"1.3X.summary_ranges","EPS-EI","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3683.07333616727
"1.3X.summary_ranges","EPS-EI","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3181.23945999667
"1.3X.summary_ranges","GCAM-CGS","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3535.15117247745
"1.3X.summary_ranges","GCAM-CGS","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3265.13939647775
"1.3X.summary_ranges","GCAM-PNNL","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3631.81913612816
"1.3X.summary_ranges","GCAM-PNNL","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3310.10805031081
"1.3X.summary_ranges","MARKAL-NETL","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3978.59
"1.3X.summary_ranges","MARKAL-NETL","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3385.68
"1.3X.summary_ranges","NEMS-EIA","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",4007.489174
"1.3X.summary_ranges","NEMS-EIA","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3904.675421
"1.3X.summary_ranges","NEMS-RHG","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3731.42341620699
"1.3X.summary_ranges","NEMS-RHG","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3572.57563575272
"1.3X.summary_ranges","RIO-REPEAT","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3693
"1.3X.summary_ranges","RIO-REPEAT","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",2763
"1.3X.summary_ranges","USREP-ReEDS","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3493.680895
"1.3X.summary_ranges","USREP-ReEDS","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3231.66939
"1.3X.summary_ranges","NEMS-OP","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3836.38348433595
"1.3X.summary_ranges","NEMS-OP","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3402.58860082152
"1.3X.summary_ranges","REGEN-EPRI","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3990.38178732904
"1.3X.summary_ranges","REGEN-EPRI","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3224.40184675108
"1.3X.summary_ranges","EPS-EI","IRA","Electricity","Mt CO2/yr",2030,"Electricity",602.7
"1.3X.summary_ranges","EPS-EI","IRA","Electricity","Mt CO2/yr",2035,"Electricity",336.702
"1.3X.summary_ranges","GCAM-CGS","IRA","Electricity","Mt CO2/yr",2030,"Electricity",679.659054813217
