"variable","unit","model","year","value","version"
"Coal CCS Retrofit","Capital Costs (2020$/kW)","ReEDS-NREL","2030",2395.067943,"Moderate"
"Coal CCS Retrofit","Capital Costs (2020$/kW)","ReEDS-NREL","2035",2395.067943,"Moderate"
"Coal CCS Retrofit","Capital Costs (2020$/kW)","RIO-REPEAT","2025",2953.93,"Moderate"
"Coal CCS Retrofit","Capital Costs (2020$/kW)","RIO-REPEAT","2030",2953.93,"Moderate"
"Coal CCS Retrofit","Capital Costs (2020$/kW)","RIO-REPEAT","2035",2953.93,"Moderate"
"NGCC with CCS","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",1759.8145,"Moderate"
"NGCC with CCS","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",1648.636797,"Moderate"
"NGCC with CCS","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",1526.441299,"Moderate"
"NGCC with CCS","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",1739.782448,"Advanced"
"NGCC with CCS","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",1597.555016,"Advanced"
"NGCC with CCS","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",1422.274556,"Advanced"
"NGCC with CCS","Capital Costs (2020$/kW)","IPM-EPA","2030",2295.346715,"Moderate"
"NGCC with CCS","Capital Costs (2020$/kW)","IPM-EPA","2035",2084.838727,"Moderate"
"Coal CCS Retrofit","Capital Costs (2020$/kW)","IPM-EPA","2030",2136.352461,"Moderate"
"Coal CCS Retrofit","Capital Costs (2020$/kW)","IPM-EPA","2035",2136.352461,"Moderate"
