"figure_num","model","scenario","variable","unit","year","variable_rename","value"
4.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2018,"Buildings",584
4.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2019,"Buildings",592.1
4.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2020,"Buildings",541.7
4.2,"EPS-EI","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"EPS-EI","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",549.436
4.2,"EPS-EI","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",525.176
4.2,"EPS-EI","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",511.954
4.2,"EPS-EI","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"EPS-EI","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",562.901
4.2,"EPS-EI","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",557.617
4.2,"EPS-EI","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",550.902
4.2,"GCAM-CGS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"GCAM-CGS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",500.2271433
4.2,"GCAM-CGS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",454.8152776
4.2,"GCAM-CGS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",446.2489341
4.2,"GCAM-CGS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"GCAM-CGS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",542.1616352
4.2,"GCAM-CGS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",533.5372147
4.2,"GCAM-CGS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",504.0387208
4.2,"NEMS-RHG","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"NEMS-RHG","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",572.610224
4.2,"NEMS-RHG","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",571.073625
4.2,"NEMS-RHG","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",561.914416
4.2,"NEMS-RHG","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"NEMS-RHG","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",576.099251
4.2,"NEMS-RHG","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",571.501767
4.2,"NEMS-RHG","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",565.663976
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2022,"Buildings",585.144958
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2023,"Buildings",573.511688
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2024,"Buildings",571.680115
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",570.024962
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2026,"Buildings",567.186249
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2027,"Buildings",565.269043
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2028,"Buildings",562.697357
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2029,"Buildings",559.450546
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",556.012282
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2031,"Buildings",552.626693
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2032,"Buildings",549.721283
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2033,"Buildings",547.861206
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2034,"Buildings",546.322373
4.2,"OP-NEMS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",545.036239
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2022,"Buildings",585.14502
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2023,"Buildings",574.8938
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2024,"Buildings",574.63504
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",574.770843
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2026,"Buildings",573.873107
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2027,"Buildings",573.901305
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2028,"Buildings",572.972046
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2029,"Buildings",571.446992
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",570.069
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2031,"Buildings",568.802247
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2032,"Buildings",567.618499
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2033,"Buildings",565.800444
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2034,"Buildings",564.325562
4.2,"OP-NEMS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",563.432128
4.2,"REGEN-EPRI","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"REGEN-EPRI","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",523.3365524
4.2,"REGEN-EPRI","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",491.9030549
4.2,"REGEN-EPRI","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",468.5409598
4.2,"REGEN-EPRI","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"REGEN-EPRI","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",536.1788827
4.2,"REGEN-EPRI","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",516.5242918
4.2,"REGEN-EPRI","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",494.9187157
4.2,"RIO-REPEAT","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"RIO-REPEAT","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",642
4.2,"RIO-REPEAT","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",590
4.2,"RIO-REPEAT","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",531
4.2,"RIO-REPEAT","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"RIO-REPEAT","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",649
4.2,"RIO-REPEAT","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",638
4.2,"RIO-REPEAT","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",630
4.2,"USREP-ReEDS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"USREP-ReEDS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",459.1654239
4.2,"USREP-ReEDS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",388.893059
4.2,"USREP-ReEDS","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",329.9671054
4.2,"USREP-ReEDS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"USREP-ReEDS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",488.9584309
4.2,"USREP-ReEDS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",436.6063889
4.2,"USREP-ReEDS","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",382.1598693
