"model","scenario","unit","year","variable","region","value","figure_num"
"EPS-EI","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3311.2849500478,"1.5.ew_sensitivities_BW"
"EPS-EI","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2820.68622272733,"1.5.ew_sensitivities_BW"
"EPS-EI","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3067.009458,"1.5.ew_sensitivities_BW"
"EPS-EI","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2741.965576,"1.5.ew_sensitivities_BW"
"EPS-EI","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3433.919429,"1.5.ew_sensitivities_BW"
"EPS-EI","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2882.332415,"1.5.ew_sensitivities_BW"
"GCAM-CGS","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3507.39059080313,"1.5.ew_sensitivities_BW"
"GCAM-CGS","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3238.48939647775,"1.5.ew_sensitivities_BW"
"GCAM-CGS","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3400.1193008721,"1.5.ew_sensitivities_BW"
"GCAM-CGS","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3192.55138245144,"1.5.ew_sensitivities_BW"
"GCAM-CGS","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3598.96602573759,"1.5.ew_sensitivities_BW"
"GCAM-CGS","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3254.08482108779,"1.5.ew_sensitivities_BW"
"REGEN-EPRI","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3920.61451399309,"1.5.ew_sensitivities_BW"
"REGEN-EPRI","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3158.19215192956,"1.5.ew_sensitivities_BW"
"REGEN-EPRI","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3983.36753615293,"1.5.ew_sensitivities_BW"
"REGEN-EPRI","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2967.36726080504,"1.5.ew_sensitivities_BW"
"REGEN-EPRI","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",4076.56942128387,"1.5.ew_sensitivities_BW"
"REGEN-EPRI","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3609.04870272346,"1.5.ew_sensitivities_BW"
"RIO-REPEAT","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3587,"1.5.ew_sensitivities_BW"
"RIO-REPEAT","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2653,"1.5.ew_sensitivities_BW"
"RIO-REPEAT","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3464,"1.5.ew_sensitivities_BW"
"RIO-REPEAT","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2476,"1.5.ew_sensitivities_BW"
"RIO-REPEAT","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3629,"1.5.ew_sensitivities_BW"
"RIO-REPEAT","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2877,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3493.680895,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3231.66939,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3477.093537,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3208.064153,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3589.719854,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3344.497042,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3653.189,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3359.705,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3562.05186279221,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3243.89835548928,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3465.93,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3119.699,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","High","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3345.498,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","High","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2968.022,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3562.05186279221,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3243.89835548928,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Low","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3611.28,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Low","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3334.912,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","All Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3503.83996860501,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","All Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3158.9028728052,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3562.05186279221,"1.5.ew_sensitivities_BW"
"GCAM-PNNL","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3243.89835548928,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","All Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3325.313438,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","All Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",2947.398068,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","Constr","Mt CO2/yr",2030,"Emissions|CO2|Energy","United States",3714.214007,"1.5.ew_sensitivities_BW"
"USREP-ReEDS","Constr","Mt CO2/yr",2035,"Emissions|CO2|Energy","United States",3492.97627,"1.5.ew_sensitivities_BW"
