"model","scenario","year","value","variable","label","figure_num"
"OP-NEMS","IRA",2030,20.4264450727549,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2035,22.2545726067846,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2025,20.8850931218653,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2030,22.8781786812596,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2035,24.4544001682649,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2025,23.2423500384988,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2030,26.1254070655206,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2035,29.614029502084,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2025,18.7350850059978,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2030,19.1390968204636,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2035,19.9134367412306,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2025,21.0590844775025,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2030,22.1477214172815,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2035,23.3519631582392,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2025,20.6795231,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2030,22.3587115,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2035,24.4583989,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2025,21.4523594,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2030,22.8432061,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2035,25.2683209,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"MARKAL-NETL","No IRA",2025,24.4058577,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"MARKAL-NETL","No IRA",2030,25.4281357,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"MARKAL-NETL","No IRA",2035,26.2529831,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2025,22.7827967,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2030,23.6378328,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2035,25.0365296,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2025,20.77,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2030,22.74,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2035,25.58,"Electricity Share","Economy-Wide","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
