"model","scenario","unit","year","datasrc","variable","region","value","stagger"
"GCAM-PNNL","Core","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_16_23.xlsx","Emissions|CO2|Energy","United States",3565.9227730384,NA
"GCAM-PNNL","Core","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_16_23.xlsx","Emissions|CO2|Energy","United States",3278.04747504044,NA
"GCAM-PNNL","Low","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_16_23.xlsx","Emissions|CO2|Energy","United States",3603.90689289084,NA
"GCAM-PNNL","Low","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_16_23.xlsx","Emissions|CO2|Energy","United States",3339.98474507485,NA
"USREP-ReEDS","All Adv","Mt CO2/yr",2030,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3325.313438,NA
"USREP-ReEDS","All Adv","Mt CO2/yr",2035,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",2947.398068,NA
"USREP-ReEDS","Core","Mt CO2/yr",2030,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3493.680895,NA
"USREP-ReEDS","Core","Mt CO2/yr",2035,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3231.66939,NA
"OP-NEMS","Core","Mt CO2/yr",2030,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Emissions|CO2|Energy","United States",3797.095947,-0.4
"OP-NEMS","Core","Mt CO2/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Emissions|CO2|Energy","United States",3331.534912,-0.4
"OP-NEMS","Opt-Adv","Mt CO2/yr",2030,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Emissions|CO2|Energy","United States",3369.135986,-0.4
"OP-NEMS","Opt-Adv","Mt CO2/yr",2035,"OP-NEMS IRA 5cenario outputs 05-11-23.xlsx","Emissions|CO2|Energy","United States",2971.619385,-0.4
"USREP-ReEDS","Core","Mt CO2/yr",2030,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3493.680895,0.4
"USREP-ReEDS","Core","Mt CO2/yr",2035,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3231.66939,0.4
"USREP-ReEDS","Opt-Adv","Mt CO2/yr",2030,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3294.518897,0.4
"USREP-ReEDS","Opt-Adv","Mt CO2/yr",2035,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",2984.003895,0.4
"USREP-ReEDS","Pess-Adv","Mt CO2/yr",2030,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3391.754436,0.4
"USREP-ReEDS","Pess-Adv","Mt CO2/yr",2035,"usrep_reeds_allscen.csv","Emissions|CO2|Energy","United States",3028.01331,0.4
