"figure_num","model","scenario","variable","unit","year","label","value"
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1950,"Coal w/o CCS",1.5491
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1950,"Gas w/o CCS",0.9569
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1950,"Hydro",1.196
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1950,"Other",0.5188
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1950,"Solar",0
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1951,"Coal w/o CCS",1.7801
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1951,"Gas w/o CCS",1.4412
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1951,"Hydro",1.4092
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1951,"Other",0.2892
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1951,"Solar",0
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1952,"Coal w/o CCS",2.7279
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1952,"Gas w/o CCS",1.0856
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1952,"Hydro",1.7084
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1952,"Other",0.3056
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Solar","GW/yr",1952,"Solar",0
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Coal|w/o CCS","GW/yr",1953,"Coal w/o CCS",4.0391
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Gas|w/o CCS","GW/yr",1953,"Gas w/o CCS",2.0291
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Hydro","GW/yr",1953,"Hydro",1.9929
"2.5.avgcapadd_hist","EIA","Historic","Capacity Additions|Electricity|Other","GW/yr",1953,"Other",0.7142
