"title_name","figure_no","model","scenario","unit","region","variable_rename","year","value"
"Sox",123,"EPS-EI","IRA","Mt SO2/yr","United States","Sox",2035,0.0455129
"Sox",123,"EPS-EI","No IRA","Mt SO2/yr","United States","Sox",2021,0.854566186196055
"Sox",123,"EPS-EI","No IRA","Mt SO2/yr","United States","Sox",2025,0.723582
"Sox",123,"EPS-EI","No IRA","Mt SO2/yr","United States","Sox",2030,0.536509
"Sox",123,"EPS-EI","No IRA","Mt SO2/yr","United States","Sox",2035,0.5132
"Sox",123,"Haiku-RFF","IRA","Mt SO2/yr","United States","Sox",2021,0.854566186196055
"Sox",123,"Haiku-RFF","IRA","Mt SO2/yr","United States","Sox",2025,0.903000768334448
"Sox",123,"Haiku-RFF","IRA","Mt SO2/yr","United States","Sox",2030,0.586614077128306
"Sox",123,"Haiku-RFF","IRA","Mt SO2/yr","United States","Sox",2035,0.500989803061543
"Sox",123,"Haiku-RFF","No IRA","Mt SO2/yr","United States","Sox",2021,0.854566186196055
"Sox",123,"Haiku-RFF","No IRA","Mt SO2/yr","United States","Sox",2025,1.07057712755421
"Sox",123,"Haiku-RFF","No IRA","Mt SO2/yr","United States","Sox",2030,0.888687629983311
"Sox",123,"Haiku-RFF","No IRA","Mt SO2/yr","United States","Sox",2035,0.816036981715867
"Sox",123,"IPM-NRDC","IRA","Mt SO2/yr","United States","Sox",2021,0.854566186196055
"Sox",123,"IPM-NRDC","IRA","Mt SO2/yr","United States","Sox",2025,0.602531701561867
"Sox",123,"IPM-NRDC","IRA","Mt SO2/yr","United States","Sox",2030,0.322195295776252
"Sox",123,"IPM-NRDC","IRA","Mt SO2/yr","United States","Sox",2035,0.213345413161821
"Sox",123,"IPM-NRDC","No IRA","Mt SO2/yr","United States","Sox",2021,0.854566186196055
"Sox",123,"IPM-NRDC","No IRA","Mt SO2/yr","United States","Sox",2025,0.544366268742116
"Sox",123,"IPM-NRDC","No IRA","Mt SO2/yr","United States","Sox",2030,0.402946093332878
"Sox",123,"IPM-NRDC","No IRA","Mt SO2/yr","United States","Sox",2035,0.363002875145886
"Sox",123,"REGEN-EPRI","IRA","Mt SO2/yr","United States","Sox",2021,0.854566186196055
"Sox",123,"REGEN-EPRI","IRA","Mt SO2/yr","United States","Sox",2025,0.66866
"Sox",123,"REGEN-EPRI","IRA","Mt SO2/yr","United States","Sox",2030,0.52376
"Sox",123,"REGEN-EPRI","IRA","Mt SO2/yr","United States","Sox",2035,0.434
"Sox",123,"REGEN-EPRI","No IRA","Mt SO2/yr","United States","Sox",2021,0.854566186196055
"Sox",123,"REGEN-EPRI","No IRA","Mt SO2/yr","United States","Sox",2025,0.708051148061933
"Sox",123,"REGEN-EPRI","No IRA","Mt SO2/yr","United States","Sox",2030,0.529466650890959
"Sox",123,"REGEN-EPRI","No IRA","Mt SO2/yr","United States","Sox",2035,0.487573859463687
