"figure_num","model","scenario","variable","unit","year","value"
"E.25.transportation_projections_direct","EPA-GHGI","Historic","Transportation Direct Emissions","Mt CO2/yr",2021,1752.4
"E.25.transportation_projections_direct","EPS-EI","IRA","Transportation Direct Emissions","Mt CO2/yr",2021,1752.4
"E.25.transportation_projections_direct","EPS-EI","IRA","Transportation Direct Emissions","Mt CO2/yr",2025,1570.042984
"E.25.transportation_projections_direct","EPS-EI","IRA","Transportation Direct Emissions","Mt CO2/yr",2030,1380.345127
"E.25.transportation_projections_direct","EPS-EI","IRA","Transportation Direct Emissions","Mt CO2/yr",2035,1195.014895
"E.25.transportation_projections_direct","EPS-EI","No IRA","Transportation Direct Emissions","Mt CO2/yr",2021,1752.4
"E.25.transportation_projections_direct","EPS-EI","No IRA","Transportation Direct Emissions","Mt CO2/yr",2025,1573.981449
"E.25.transportation_projections_direct","EPS-EI","No IRA","Transportation Direct Emissions","Mt CO2/yr",2030,1401.480757
"E.25.transportation_projections_direct","EPS-EI","No IRA","Transportation Direct Emissions","Mt CO2/yr",2035,1234.004451
"E.25.transportation_projections_direct","GCAM-CGS","IRA","Transportation Direct Emissions","Mt CO2/yr",2021,1752.4
"E.25.transportation_projections_direct","GCAM-CGS","IRA","Transportation Direct Emissions","Mt CO2/yr",2025,1538.6165656608
"E.25.transportation_projections_direct","GCAM-CGS","IRA","Transportation Direct Emissions","Mt CO2/yr",2030,1357.17964232201
"E.25.transportation_projections_direct","GCAM-CGS","IRA","Transportation Direct Emissions","Mt CO2/yr",2035,1282.9675605035
"E.25.transportation_projections_direct","GCAM-CGS","No IRA","Transportation Direct Emissions","Mt CO2/yr",2021,1752.4
"E.25.transportation_projections_direct","GCAM-CGS","No IRA","Transportation Direct Emissions","Mt CO2/yr",2025,1596.66956680078
"E.25.transportation_projections_direct","GCAM-CGS","No IRA","Transportation Direct Emissions","Mt CO2/yr",2030,1464.78688682719
"E.25.transportation_projections_direct","GCAM-CGS","No IRA","Transportation Direct Emissions","Mt CO2/yr",2035,1306.29323674977
"E.25.transportation_projections_direct","GCAM-PNNL","IRA","Transportation Direct Emissions","Mt CO2/yr",2021,1752.4
"E.25.transportation_projections_direct","GCAM-PNNL","IRA","Transportation Direct Emissions","Mt CO2/yr",2025,1687.96230783699
