"year","min_diff","max_diff","median_diff","min_per","max_per","median_per"
2025,-104.24,324.08,41.955,-0.1,0.24,0.035
2030,125.39,824.66,419.385,0.11,0.67,0.345
2035,307.37,861.99,555.19,0.28,0.72,0.515
