"model","year","variable_rename","alpha","No IRA","IRA","abs_dif","axe","scenario"
"USREP-ReEDS",2030,"Total_High",1,1854.38964968133,1069.37333819089,-785.016311490444,1,"IRA"
"EPS-EI",2030,"Total_High",1,2097.8216602,1133.7018151998,-964.1198450002,1,"IRA"
"GCAM-CGS",2030,"Total_High",1,2204.65248144463,1385.42209978966,-819.230381654974,1,"IRA"
"GCAM-PNNL",2030,"Total_High",1,2236.272493,1563.34312851111,-672.929364488889,1,"IRA"
"Haiku-RFF",2030,"Total_High",1,1784.73498708682,1208.61693247714,-576.118054609682,1,"IRA"
"IPM-NRDC",2030,"Total_High",1,2183.11910535187,1751.78561833655,-431.333487015313,1,"IRA"
"IPM-EPA",2030,"Total_High",1,2222.83484474017,1892.85796917018,-329.976875569986,1,"IRA"
"MARKAL-NETL",2030,"Total_High",1,2427.59418374046,2403.69644073339,-23.8977430070677,1,"IRA"
"NEMS-RHG",2030,"Total_High",1,1653.9787677,908.7273487628,-745.2514189372,1,"IRA"
"NEMS-OP",2030,"Total_High",1,1899.1920548986,1271.71132284525,-627.48073205335,1,"IRA"
"REGEN-EPRI",2030,"Total_High",1,1762.87957971659,1693.98926528402,-68.8903144325654,1,"IRA"
"RIO-REPEAT",2030,"Total_High",1,1541.1228,1219.8186,-321.3042,1,"IRA"
"ReEDS-NREL",2030,"Total_High",1,1895.22942942338,761.888432173774,-1133.34099724961,1,"IRA"
"NEMS-EIA",2030,"Total_High",1,2075.9145597904,1432.11018698321,-643.80437280719,1,"IRA"
"USREP-ReEDS",2035,"Total_High",1,1857.50431557017,878.435195129722,-979.069120440444,2,"IRA"
"EPS-EI",2035,"Total_High",1,2119.1973936,692.2643642236,-1426.9330293764,2,"IRA"
"GCAM-CGS",2035,"Total_High",1,2400.51562762174,1128.95439462463,-1271.56123299711,2,"IRA"
"GCAM-PNNL",2035,"Total_High",1,2201.1048479,1416.84065572778,-784.264192172222,2,"IRA"
"Haiku-RFF",2035,"Total_High",1,1665.83068004747,1106.15165929197,-559.679020755499,2,"IRA"
"IPM-NRDC",2035,"Total_High",1,2266.35725895652,1703.49025081742,-562.867008139101,2,"IRA"
"IPM-EPA",2035,"Total_High",1,2226.13747355988,1313.51894805677,-912.618525503107,2,"IRA"
"MARKAL-NETL",2035,"Total_High",1,2561.77381052852,1545.33121515287,-1016.44259537565,2,"IRA"
"NEMS-RHG",2035,"Total_High",1,1546.0924158526,1091.8581758826,-454.23423997,2,"IRA"
"NEMS-OP",2035,"Total_High",1,1808.5870949426,872.939151391611,-935.647943550989,2,"IRA"
"REGEN-EPRI",2035,"Total_High",1,1857.92605785169,969.498863953602,-888.427193898086,2,"IRA"
"RIO-REPEAT",2035,"Total_High",1,1261.5218,642.6084,-618.9134,2,"IRA"
"ReEDS-NREL",2035,"Total_High",1,1832.56403046823,549.302716182023,-1283.26131428621,2,"IRA"
"NEMS-EIA",2035,"Total_High",1,1973.6778437572,1316.39850942289,-657.279334334308,2,"IRA"
