"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",0.13311897100992,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",6.88030776905472,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",3.05923609407528,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",0.04994334173304,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",0.84452383208592,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",2.75158577121624,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",0.22430665205424,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",0.10228702032864,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",0.00208748665944,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2007,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",0.11754590691816,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
