"model","scenario","year","value","variable","alpha","variable_rename"
"EPS-EI","IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"GCAM-CGS","IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"MARKAL-NETL","IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"NEMS-RHG","IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"RIO-REPEAT","IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"GCAM-PNNL","IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"OP-NEMS","IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"USREP-ReEDS","IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"GCAM-PNNL","No IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"OP-NEMS","No IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"USREP-ReEDS","No IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"EPS-EI","No IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"GCAM-CGS","No IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"MARKAL-NETL","No IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"NEMS-RHG","No IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"RIO-REPEAT","No IRA",2020,17.9352206972166,"Economy-Wide",1,"Economy-Wide"
"EPS-EI","IRA",2025,21.0166945,"Economy-Wide",1,"Economy-Wide"
"EPS-EI","IRA",2030,23.311382,"Economy-Wide",1,"Economy-Wide"
"EPS-EI","IRA",2035,25.6831088,"Economy-Wide",1,"Economy-Wide"
"GCAM-CGS","IRA",2025,22.6453545,"Economy-Wide",1,"Economy-Wide"
"GCAM-CGS","IRA",2030,25.8247389,"Economy-Wide",1,"Economy-Wide"
"GCAM-CGS","IRA",2035,26.4517147,"Economy-Wide",1,"Economy-Wide"
"MARKAL-NETL","IRA",2025,23.9396627,"Economy-Wide",1,"Economy-Wide"
"MARKAL-NETL","IRA",2030,24.7722372,"Economy-Wide",1,"Economy-Wide"
"MARKAL-NETL","IRA",2035,25.5427566,"Economy-Wide",1,"Economy-Wide"
"NEMS-RHG","IRA",2025,26.3185068,"Economy-Wide",1,"Economy-Wide"
"NEMS-RHG","IRA",2030,23.1429051,"Economy-Wide",1,"Economy-Wide"
"NEMS-RHG","IRA",2035,25.0957693,"Economy-Wide",1,"Economy-Wide"
"RIO-REPEAT","IRA",2025,20.87,"Economy-Wide",1,"Economy-Wide"
"RIO-REPEAT","IRA",2030,23.9,"Economy-Wide",1,"Economy-Wide"
"RIO-REPEAT","IRA",2035,28.59,"Economy-Wide",1,"Economy-Wide"
"GCAM-PNNL","IRA",2025,24.006922762568,"Economy-Wide",1,"Economy-Wide"
"GCAM-PNNL","IRA",2030,26.9267436307919,"Economy-Wide",1,"Economy-Wide"
"GCAM-PNNL","IRA",2035,30.2712303323658,"Economy-Wide",1,"Economy-Wide"
"OP-NEMS","IRA",2025,18.8159634448591,"Economy-Wide",1,"Economy-Wide"
"OP-NEMS","IRA",2030,20.4264450727549,"Economy-Wide",1,"Economy-Wide"
"OP-NEMS","IRA",2035,22.2545726067846,"Economy-Wide",1,"Economy-Wide"
"USREP-ReEDS","IRA",2025,20.8850931218653,"Economy-Wide",1,"Economy-Wide"
"USREP-ReEDS","IRA",2030,22.8781786812596,"Economy-Wide",1,"Economy-Wide"
"USREP-ReEDS","IRA",2035,24.4544001682649,"Economy-Wide",1,"Economy-Wide"
"GCAM-PNNL","No IRA",2025,23.2423500384988,"Economy-Wide",1,"Economy-Wide"
"GCAM-PNNL","No IRA",2030,26.1254070655206,"Economy-Wide",1,"Economy-Wide"
"GCAM-PNNL","No IRA",2035,29.614029502084,"Economy-Wide",1,"Economy-Wide"
"OP-NEMS","No IRA",2025,18.7350850059978,"Economy-Wide",1,"Economy-Wide"
"OP-NEMS","No IRA",2030,19.1390968204636,"Economy-Wide",1,"Economy-Wide"
"OP-NEMS","No IRA",2035,19.9134367412306,"Economy-Wide",1,"Economy-Wide"
"USREP-ReEDS","No IRA",2025,21.0590844775025,"Economy-Wide",1,"Economy-Wide"
"USREP-ReEDS","No IRA",2030,22.1477214172815,"Economy-Wide",1,"Economy-Wide"
"USREP-ReEDS","No IRA",2035,23.3519631582392,"Economy-Wide",1,"Economy-Wide"
"EPS-EI","No IRA",2025,20.6795231,"Economy-Wide",1,"Economy-Wide"
"EPS-EI","No IRA",2030,22.3587115,"Economy-Wide",1,"Economy-Wide"
"EPS-EI","No IRA",2035,24.4583989,"Economy-Wide",1,"Economy-Wide"
"GCAM-CGS","No IRA",2025,21.4523594,"Economy-Wide",1,"Economy-Wide"
"GCAM-CGS","No IRA",2030,22.8432061,"Economy-Wide",1,"Economy-Wide"
"GCAM-CGS","No IRA",2035,25.2683209,"Economy-Wide",1,"Economy-Wide"
"MARKAL-NETL","No IRA",2025,24.4058577,"Economy-Wide",1,"Economy-Wide"
"MARKAL-NETL","No IRA",2030,25.4281357,"Economy-Wide",1,"Economy-Wide"
"MARKAL-NETL","No IRA",2035,26.2529831,"Economy-Wide",1,"Economy-Wide"
"NEMS-RHG","No IRA",2025,22.7827967,"Economy-Wide",1,"Economy-Wide"
"NEMS-RHG","No IRA",2030,23.6378328,"Economy-Wide",1,"Economy-Wide"
"NEMS-RHG","No IRA",2035,25.0365296,"Economy-Wide",1,"Economy-Wide"
"RIO-REPEAT","No IRA",2025,20.77,"Economy-Wide",1,"Economy-Wide"
"RIO-REPEAT","No IRA",2030,22.74,"Economy-Wide",1,"Economy-Wide"
"RIO-REPEAT","No IRA",2035,25.58,"Economy-Wide",1,"Economy-Wide"
