model,scenario,region,variable,notes,ghgi-table,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EPA-GHGI,Historic,United States,Emissions|HFC,new var,ES-2,Mt CO2e/yr,39.00,35.40,40.40,40.80,47.10,64.70,74.50,84.40,102.30,100.90,105.80,102.90,109.20,104.30,113.30,116.40,120.70,131.20,135.70,136.20,144.70,148.40,148.10,149.10,154.10,157.90,158.40,160.80,160.90,165.40,168.20,175.10
EPA-GHGI,Historic,United States,Emissions|N2O,sum of n2o energy and afolu,ES-2,Mt CO2e/yr,410.70,401.80,401.90,419.20,423.20,426.10,437.20,424.10,425.90,421.80,419.20,421.50,426.70,426.00,440.10,426.90,422.60,434.90,416.60,414.40,415.40,419.10,399.10,430.80,435.00,432.70,414.50,423.00,437.20,417.60,399.90,405.10
EPA-GHGI,Historic,United States,Emissions|N2O|AFOLU,,ES-2,Mt CO2e/yr,4.40,4.20,3.10,3.30,4.70,3.20,4.50,3.00,3.40,5.40,8.00,4.70,9.60,6.70,14.90,11.10,7.70,9.40,6.40,8.70,4.10,6.80,6.80,7.10,4.80,13.40,5.00,8.30,7.00,7.30,11.00,11.80
EPA-GHGI,Historic,United States,Emissions|N2O|Energy,,ES-2,Mt CO2e/yr,406.30,397.60,398.80,415.90,418.50,422.90,432.70,421.10,422.50,416.40,411.20,416.80,417.10,419.30,425.20,415.80,414.90,425.50,410.20,405.70,411.30,412.30,392.30,423.70,430.20,419.30,409.50,414.70,430.20,410.30,388.90,393.30
EPA-GHGI,Historic,United States,Emissions|NF3,new var,ES-2,Mt CO2e/yr,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.20,0.50,0.50,0.50,0.40,0.60,0.50,0.50,0.40,0.40,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.60,0.60
EPA-GHGI,Historic,United States,Emissions|Non-CO2 GHG,"sum of ch4, n2o, fgases",ES-2,Mt CO2e/yr,1424.20,1412.60,1414.80,1421.10,1439.30,1450.70,1467.60,1444.50,1446.10,1425.30,1425.30,1403.20,1417.60,1405.90,1433.40,1417.70,1419.40,1450.30,1440.70,1426.60,1434.80,1423.60,1390.20,1425.90,1427.80,1441.20,1384.30,1418.10,1441.30,1420.00,1387.70,1385.70
EPA-GHGI,Historic,United States,Emissions|PFC,new var,ES-2,Mt CO2e/yr,21.80,18.80,17.50,17.50,16.20,16.80,17.90,16.40,15.30,15.20,14.40,7.50,9.30,7.40,6.20,6.10,5.90,7.20,5.80,3.90,4.30,6.70,5.80,5.60,5.20,4.70,4.00,3.80,4.30,4.00,3.90,3.50
EPA-GHGI,Historic,United States,Emissions|SF6,new var,ES-2,Mt CO2e/yr,30.50,29.20,29.40,28.90,27.60,26.30,25.60,23.90,21.00,20.70,18.00,17.30,16.50,16.60,15.70,15.50,14.60,13.40,12.60,10.50,9.60,9.60,8.30,7.90,7.80,7.10,7.60,7.20,7.10,7.80,7.50,8.00
,,,Emissions|SF6|Energy|Supply|Electricity,new var,T2-11,,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14,13.7,13,12.5,12.2,11.8,11,10.2,10.2,9,7.8,7.1,6.1,5.9,6.1,5.3,5.6,5.5,5.2,6.1,5.9,6
,,,Emissions|N2O|Energy|Supply|Electricity,new var,T2-11,,18.6,18.5,18.7,19.5,19.9,20.1,20.6,21.1,21.6,21.7,22.8,22.7,23.8,24.8,25.9,27,26.9,27.3,27.1,25.2,27.1,26.1,24,25.8,26.1,24,23.7,22.4,22.1,19.2,17.8,19.4
