model,scenario,region,variable,notes,ghgi-table,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential|Gas,,,Mt CO2/yr,237.80,247.30,254.60,268.20,262.90,262.80,284.00,270.10,246.10,256.40,270.80,259.20,265.10,276.20,264.20,262.20,237.30,256.40,265.70,259.10,258.90,255.10,225.10,266.40,277.70,252.70,238.40,241.50,273.80,275.50,256.40,258.60
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect,,T2-5,Mt CO2/yr,592.70,601.60,591.40,631.90,631.90,641.60,672.10,680.20,718.20,719.60,762.20,762.50,791.60,802.60,811.90,856.00,830.10,862.90,842.60,786.30,840.10,790.80,725.60,734.70,734.10,683.80,653.50,617.10,642.30,583.70,545.30,572.20
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential|Oil,,,Mt CO2/yr,97.80,98.00,96.90,95.40,92.10,88.70,97.90,93.40,84.40,93.20,99.80,102.70,94.90,102.80,103.80,95.90,83.80,84.00,82.20,77.40,75.80,71.10,57.30,62.80,68.90,64.60,54.40,51.90,64.40,65.90,56.80,54.70
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry and Fuel Production,need to double check if GHGI includes fuel production here,T2-1,Mt CO2/yr,852.40,837.80,865.30,864.60,871.40,888.40,921.20,915.80,889.40,842.10,868.90,866.70,852.40,852.00,875.40,850.80,875.10,866.40,819.00,742.50,795.90,796.70,806.20,834.20,813.70,798.00,792.90,789.00,813.50,815.90,767.90,775.60
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect,,T2-5,Mt CO2/yr,686.40,674.20,699.20,709.20,723.30,716.00,736.50,755.20,770.20,773.00,789.50,735.60,723.50,742.70,745.50,736.30,711.40,714.90,696.70,601.70,641.00,624.80,593.10,594.80,593.00,549.50,517.60,504.40,501.30,465.50,409.80,445.10
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry|Coal,,,Mt CO2/yr,157.80,154.60,150.30,152.60,153.50,147.20,140.10,140.20,141.80,132.50,128.50,130.20,119.10,119.40,120.40,117.80,115.60,110.80,106.10,87.10,94.20,86.00,78.20,79.50,79.20,70.00,63.20,58.70,54.40,49.50,43.00,43.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry|Gas,,,Mt CO2/yr,407.40,413.60,429.30,437.00,438.20,461.50,477.20,477.90,466.20,445.60,458.20,420.60,428.10,415.10,418.90,387.80,387.40,397.00,398.70,374.20,407.10,417.20,433.90,450.90,465.90,459.60,464.00,468.10,493.50,501.50,486.10,499.60
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry|Oil,,,Mt CO2/yr,287.10,269.50,285.70,275.10,279.80,279.70,303.80,297.70,281.40,264.00,282.20,315.90,305.20,317.50,336.10,345.20,372.10,358.60,314.30,281.30,294.70,293.60,294.10,303.80,268.50,268.40,265.70,262.20,265.60,264.90,238.90,232.90
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation,,T2-1,Mt CO2/yr,1468.90,1422.30,1477.60,1508.60,1553.90,1580.70,1627.40,1643.50,1678.90,1746.30,1792.20,1762.50,1803.00,1812.00,1845.20,1858.60,1859.10,1860.70,1759.70,1688.50,1696.60,1670.40,1659.40,1669.00,1707.20,1718.20,1757.70,1780.10,1812.90,1816.40,1572.50,1752.40
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|Gas,,,Mt CO2/yr,36.00,32.90,32.20,34.20,37.60,38.40,39.10,41.40,35.30,35.80,35.70,34.90,37.10,33.30,31.90,33.10,33.10,35.20,36.70,37.90,38.20,38.90,41.40,47.00,40.20,39.40,40.10,42.30,50.90,58.90,58.70,65.10
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses,new var,,Mt CO2/yr,13.30,12.90,13.60,14.40,15.30,15.80,16.40,17.10,17.80,18.70,19.10,15.80,16.60,16.30,17.10,17.20,17.90,18.20,17.70,16.60,16.10,17.00,18.10,18.50,20.30,21.20,21.40,22.80,23.70,24.20,23.00,25.10
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft,new var,,Mt CO2/yr,109.90,103.30,105.50,108.70,113.50,115.20,118.60,122.90,119.70,130.30,139.30,124.60,121.30,122.90,124.80,132.70,137.00,139.70,127.30,119.50,113.30,114.60,113.30,114.30,115.20,119.00,120.40,128.00,129.60,136.70,91.30,119.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks,new var,,Mt CO2/yr,292.20,303.60,329.80,351.70,373.90,396.30,423.50,446.90,478.80,513.20,530.30,541.30,564.30,584.70,607.50,614.20,623.10,625.10,586.60,588.60,589.00,601.90,650.50,638.10,662.30,664.60,684.90,692.70,699.10,690.20,596.30,654.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants,new var,,Mt CO2/yr,11.80,10.60,10.80,11.00,11.50,11.30,11.00,11.60,12.10,12.20,12.10,11.10,10.90,10.10,10.20,10.20,9.90,10.20,9.50,8.50,10.40,10.00,9.10,9.60,10.00,11.00,10.40,9.60,9.20,8.80,7.80,8.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks,new var,,Mt CO2/yr,232.80,226.10,237.90,252.10,267.50,277.00,288.50,301.40,313.70,330.80,343.10,343.00,354.00,361.80,371.80,386.50,395.60,397.70,380.80,341.80,353.10,346.10,344.80,350.50,364.60,370.70,374.70,387.50,398.20,400.60,377.90,407.80
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles,new var,,Mt CO2/yr,3.40,3.40,3.60,3.70,3.90,4.00,4.20,4.40,4.60,4.90,4.40,4.00,4.10,4.20,5.40,4.90,6.80,7.50,7.10,7.10,6.30,6.20,7.00,6.70,6.90,6.70,7.10,7.00,7.30,7.40,6.60,7.40
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft,new var,,Mt CO2/yr,77.30,68.20,63.80,62.00,64.50,59.60,68.40,64.20,71.00,64.70,58.10,67.40,66.20,58.40,63.90,59.00,47.50,41.90,47.70,36.40,40.00,33.80,31.70,34.30,34.60,40.00,47.00,45.10,44.20,45.20,30.70,35.10
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars,new var,,Mt CO2/yr,622.20,597.40,600.50,593.40,585.20,576.80,573.50,563.40,562.40,561.90,555.30,547.10,550.90,550.80,538.20,521.10,503.00,495.40,468.70,467.40,459.10,427.90,375.80,383.50,396.20,387.60,390.30,379.00,386.50,384.20,331.90,365.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines,new var,,Mt CO2/yr,36.00,32.80,32.20,34.10,37.50,38.30,38.90,41.20,35.10,35.60,35.40,34.60,36.70,32.80,31.50,32.60,32.60,34.70,36.30,37.50,37.80,38.50,41.00,46.60,39.70,38.90,39.50,41.60,50.20,58.20,57.90,64.20
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Rail,new var,,Mt CO2/yr,38.50,36.40,37.30,38.40,41.20,42.70,43.40,43.60,43.90,45.50,46.00,46.30,45.80,47.50,50.20,50.80,52.70,51.80,48.10,40.50,43.40,44.50,43.30,43.80,45.60,43.40,39.60,40.70,41.90,39.10,33.50,34.70
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats,new var,,Mt CO2/yr,46.30,41.10,56.40,53.10,54.60,58.00,55.00,41.60,35.10,43.90,64.70,42.00,46.60,36.80,39.30,44.30,47.30,53.80,44.20,37.50,43.10,44.30,37.90,37.00,26.20,30.50,37.10,39.90,36.90,35.50,27.60,45.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|Indirect,,T2-5,Mt CO2/yr,3.00,3.00,3.00,3.00,3.10,3.10,3.10,3.10,3.20,3.20,3.40,3.60,3.50,4.30,4.50,4.70,4.50,5.10,4.70,4.50,4.50,4.30,4.00,4.30,4.40,4.30,4.20,4.30,4.80,4.80,4.10,5.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|Oil,,,Mt CO2/yr,1432.90,1389.50,1445.40,1474.50,1516.40,1542.30,1588.30,1602.10,1643.60,1710.50,1756.60,1727.60,1765.90,1778.70,1813.30,1825.50,1826.00,1825.60,1723.00,1650.60,1658.40,1631.40,1618.00,1621.90,1667.00,1678.80,1717.70,1737.80,1762.00,1757.50,1513.90,1687.30
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Gas,,,Mt CO2/yr,998.60,1020.90,1054.30,1081.80,1106.60,1155.00,1176.30,1182.50,1158.70,1162.90,1218.60,1169.40,1207.90,1177.00,1182.80,1166.20,1151.00,1225.00,1235.90,1214.20,1273.10,1292.80,1352.80,1390.80,1419.10,1455.40,1461.30,1433.20,1592.00,1649.30,1612.40,1621.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Oil,,,Mt CO2/yr,2009.20,1939.70,1989.70,2010.40,2050.20,2042.90,2127.60,2136.30,2177.50,2222.40,2318.30,2347.60,2334.80,2399.80,2456.10,2467.00,2433.40,2415.90,2240.10,2127.60,2140.10,2099.00,2053.90,2073.70,2090.70,2123.90,2137.50,2148.80,2185.80,2178.10,1896.50,2060.40
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity,,T2-1,Mt CO2/yr,1820.00,1817.40,1830.70,1906.20,1930.50,1947.20,2020.20,2087.50,2176.60,2189.70,2296.20,2257.20,2272.20,2303.70,2335.10,2400.10,2344.40,2411.10,2359.30,2145.30,2258.60,2158.10,2023.30,2038.30,2037.20,1900.60,1808.90,1732.00,1753.40,1606.70,1439.60,1540.90
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity|Coal,,T2-11,Mt CO2/yr,1546.50,1547.20,1568.50,1631.60,1637.90,1659.90,1751.50,1796.00,1827.10,1835.40,1926.40,1868.80,1888.90,1930.00,1942.00,1982.80,1952.70,1986.20,1958.40,1740.20,1827.20,1722.40,1511.70,1571.30,1568.60,1351.40,1242.00,1207.10,1152.90,973.50,788.20,909.90
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity|Gas,,T2-11,Mt CO2/yr,175.40,179.00,186.10,187.60,210.90,228.20,204.90,218.80,247.70,259.90,280.80,289.40,306.00,278.10,296.80,318.90,338.00,371.50,362.10,372.50,399.50,409.40,492.80,444.20,442.90,525.20,545.00,505.60,577.90,616.60,634.80,612.90
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity|Geothermal,,T2-11,Mt CO2/yr,0.50,0.50,0.50,0.60,0.50,0.40,0.50,0.50,0.50,0.50,0.50,0.40,0.50,0.50,0.50,0.50,0.50,0.50,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity|Oil,,T2-11,Mt CO2/yr,97.50,90.70,75.50,86.40,81.20,58.70,63.40,72.20,101.30,93.80,88.50,98.60,76.90,95.10,95.80,98.00,53.30,53.00,38.40,32.20,31.40,25.80,18.30,22.40,25.30,23.70,21.50,18.90,22.20,16.20,16.20,17.70
,,,Emissions|CO2|Energy|Supply|Electricity|Other,new var,T2-11,,3.10,2.80,2.80,2.60,2.70,3.70,4.00,3.80,3.90,4.30,2.90,3.00,3.10,2.40,3.30,3.70,4.30,3.90,3.40,4.30,5.30,4.90,4.50,5.40,6.30,6.10,5.40,4.90,3.70,4.20,4.20,4.00
,,,Emissions|CO2|Energy|Supply|Electricity|Waste,new var,T2-11,,12.90,11.20,13.00,13.00,14.00,14.30,14.50,13.70,12.80,12.30,13.00,13.00,13.00,13.20,13.20,13.30,14.30,14.20,13.90,13.50,12.80,12.70,13.40,14.10,14.10,14.20,14.40,13.20,13.30,12.90,12.90,12.50
EPA-GHGI,Historic,United States,Emissions|CO2|Net,co2 emissions - lulucf sink,ES-2,Mt CO2/yr,4182.10,4118.60,4237.40,4355.30,4432.50,4522.50,4689.50,4784.70,4828.50,4903.40,5108.10,5007.80,5079.20,5118.70,5321.40,5278.70,5170.10,5287.00,5090.40,4693.70,4872.30,4692.30,4494.70,4666.70,4701.80,4624.30,4378.70,4369.70,4548.30,4493.90,3862.10,4200.20
EPA-GHGI,Historic,United States,Emissions|F-Gases,sum of 4 f-gases,ES-2,Mt CO2e/yr,91.30,83.40,87.30,87.30,91.00,107.90,118.10,124.80,138.70,136.90,138.40,127.90,135.50,128.80,135.70,138.40,141.80,152.30,154.60,151.00,159.00,165.20,162.70,163.10,167.60,170.20,170.50,172.30,172.80,177.70,180.20,187.20
EPA-GHGI,Historic,United States,Emissions|GHG,"new var - sum of co2, ch4, n2o, fgases",ES-2,Mt CO2e/yr,6545.20,6475.60,6589.00,6694.00,6803.60,6876.00,7080.60,7132.60,7179.40,7229.20,7435.40,7310.90,7363.90,7416.00,7546.10,7549.90,7472.10,7580.40,7355.80,6907.30,7114.50,6969.70,6734.30,6906.10,6956.50,6817.70,6637.20,6630.30,6819.10,6682.10,6102.30,6417.90
EPA-GHGI,Historic,United States,Emissions|GHG|Energy,new var,ES-3,Mt CO2e/yr,5368.00,5321.00,5428.40,5517.50,5606.30,5653.80,5841.70,5912.70,5953.60,6012.10,6222.80,6139.40,6168.10,6236.90,6335.10,6351.50,6277.90,6347.90,6162.90,5760.00,5932.10,5783.70,5564.10,5714.10,5754.10,5596.80,5450.80,5418.70,5589.50,5460.60,4894.00,5196.60
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings,sum of commercial and residential,ES-5,Mt CO2e/yr,792.60,809.80,811.80,816.20,809.90,811.80,850.80,823.30,762.90,778.20,813.30,791.90,790.50,825.50,811.10,790.10,739.40,773.80,789.20,783.10,786.00,774.10,712.60,786.10,816.70,801.90,761.90,766.00,829.50,844.40,792.90,804.80
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Commercial,,ES-5,Mt CO2e/yr,447.00,454.50,450.00,443.10,446.10,444.50,451.70,442.90,416.40,411.90,425.70,414.10,415.40,431.80,429.20,418.90,405.00,418.50,425.40,428.70,430.80,425.50,406.40,429.20,439.40,451.70,435.50,437.60,453.70,462.00,436.00,439.20
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Commercial|Indirect,total - direct,ES-6,Mt CO2e/yr,555.40,555.30,554.30,579.30,589.50,604.20,625.90,666.40,701.70,710.70,758.30,773.20,771.40,771.70,791.60,822.10,817.90,847.70,834.60,771.50,791.60,755.90,717.70,722.70,724.20,680.70,651.30,622.80,620.80,567.70,494.50,533.00
,,,Emissions|GHG|Energy|Demand|Buildings|Commercial|Total,new var,ES-6,,1002.40,1009.80,1004.30,1022.40,1035.60,1048.70,1077.60,1109.30,1118.10,1122.60,1184.00,1187.30,1186.80,1203.50,1220.80,1241.00,1222.90,1266.20,1260.00,1200.20,1222.40,1181.40,1124.10,1151.90,1163.60,1132.40,1086.80,1060.40,1074.50,1029.70,930.50,972.20
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Indirect,total - direct,ES-6,Mt CO2e/yr,1167.60,1175.60,1164.60,1230.60,1240.60,1265.00,1317.30,1364.80,1437.40,1447.90,1538.30,1553.60,1581.70,1593.00,1622.80,1698.40,1668.40,1730.90,1697.00,1577.20,1651.90,1565.70,1460.90,1476.40,1477.60,1382.80,1322.90,1256.70,1279.90,1167.30,1055.90,1121.20
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Residential,,ES-5,Mt CO2e/yr,345.60,355.30,361.80,373.10,363.80,367.30,399.10,380.40,346.50,366.30,387.60,377.80,375.10,393.70,381.90,371.20,334.40,355.30,363.80,354.40,355.20,348.60,306.20,356.90,377.30,350.20,326.40,328.40,375.80,382.40,356.90,365.60
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Residential|Indirect,total - direct,ES-6,Mt CO2e/yr,612.20,620.30,610.30,651.30,651.10,660.80,691.40,698.40,735.70,737.20,780.00,780.40,810.30,821.30,831.20,876.30,850.50,883.20,862.40,805.70,860.30,809.80,743.20,753.70,753.40,702.10,671.60,633.90,659.10,599.60,561.40,588.20
